date,artificial neural networks,artificial neural networks pdf,artificial neural networks (ann),artificial neural networks applied to taxi destination prediction,artificial neural networks a practical course,isPartial
2013-01-27,36,6,0,0,0,False
2013-02-03,69,15,0,0,0,False
2013-02-10,78,16,0,0,0,False
2013-02-17,81,6,0,0,0,False
2013-02-24,78,12,0,0,0,False
2013-03-03,36,0,0,0,0,False
2013-03-10,47,9,0,0,0,False
2013-03-17,50,0,0,0,0,False
2013-03-24,46,3,0,0,0,False
2013-03-31,62,3,0,0,0,False
2013-04-07,67,3,0,0,0,False
2013-04-14,59,3,0,0,0,False
2013-04-21,72,3,0,0,0,False
2013-04-28,58,6,0,0,0,False
2013-05-05,100,15,0,0,0,False
2013-05-12,62,9,0,0,0,False
2013-05-19,53,6,0,0,0,False
2013-05-26,45,6,0,0,0,False
2013-06-02,47,3,0,0,0,False
2013-06-09,61,6,0,0,0,False
2013-06-16,56,3,0,0,0,False
2013-06-23,48,12,0,0,0,False
2013-06-30,34,3,0,0,0,False
2013-07-07,37,12,0,0,0,False
2013-07-14,46,6,0,0,0,False
2013-07-21,48,6,0,0,0,False
2013-07-28,60,3,0,0,0,False
2013-08-04,39,6,0,0,0,False
2013-08-11,67,6,0,0,0,False
2013-08-18,74,3,0,0,0,False
2013-08-25,41,3,0,0,0,False
2013-09-01,51,11,0,0,0,False
2013-09-08,76,3,0,0,0,False
2013-09-15,48,11,0,0,0,False
2013-09-22,65,3,0,0,0,False
2013-09-29,33,3,0,0,0,False
2013-10-06,51,0,0,0,0,False
2013-10-13,48,3,0,0,0,False
2013-10-20,52,5,0,0,0,False
2013-10-27,52,14,0,0,0,False
2013-11-03,46,3,0,0,0,False
2013-11-10,69,3,0,0,0,False
2013-11-17,54,3,0,0,0,False
2013-11-24,49,5,0,0,0,False
2013-12-01,53,3,0,0,0,False
2013-12-08,47,8,0,0,0,False
2013-12-15,42,6,0,0,0,False
2013-12-22,18,6,0,0,0,False
2013-12-29,41,6,0,0,0,False
2014-01-05,55,3,0,0,0,False
2014-01-12,47,3,0,0,0,False
2014-01-19,63,13,0,0,0,False
2014-01-26,39,0,0,0,0,False
2014-02-02,54,3,0,0,0,False
2014-02-09,61,3,0,0,0,False
2014-02-16,60,8,0,0,0,False
2014-02-23,57,0,0,0,0,False
2014-03-02,62,3,0,0,0,False
2014-03-09,47,3,0,0,0,False
2014-03-16,54,10,0,0,0,False
2014-03-23,61,8,0,0,0,False
2014-03-30,65,10,0,0,0,False
2014-04-06,54,5,0,0,0,False
2014-04-13,62,11,0,0,0,False
2014-04-20,56,5,0,0,0,False
2014-04-27,60,0,0,0,0,False
2014-05-04,49,5,0,0,0,False
2014-05-11,46,5,0,0,0,False
2014-05-18,62,3,0,0,0,False
2014-05-25,46,3,0,0,0,False
2014-06-01,43,0,0,0,0,False
2014-06-08,40,0,0,0,0,False
2014-06-15,20,0,0,0,0,False
2014-06-22,47,3,0,0,0,False
2014-06-29,47,6,0,0,0,False
2014-07-06,41,3,0,0,0,False
2014-07-13,41,6,0,0,0,False
2014-07-20,56,3,0,0,0,False
2014-07-27,54,6,0,0,0,False
2014-08-03,52,6,0,0,0,False
2014-08-10,64,6,0,0,0,False
2014-08-17,46,6,0,0,0,False
2014-08-24,37,3,0,0,0,False
2014-08-31,61,6,0,0,0,False
2014-09-07,71,22,0,0,0,False
2014-09-14,60,8,0,0,0,False
2014-09-21,41,0,0,0,0,False
2014-09-28,41,5,0,0,0,False
2014-10-05,43,8,0,0,0,False
2014-10-12,59,5,0,0,0,False
2014-10-19,51,0,0,0,0,False
2014-10-26,56,0,0,0,0,False
2014-11-02,63,3,0,0,0,False
2014-11-09,65,13,0,0,0,False
2014-11-16,60,3,0,0,0,False
2014-11-23,63,5,0,0,0,False
2014-11-30,56,13,0,0,0,False
2014-12-07,44,3,0,0,0,False
2014-12-14,50,3,0,0,0,False
2014-12-21,38,15,0,0,0,False
2014-12-28,29,6,0,0,0,False
2015-01-04,43,5,0,0,0,False
2015-01-11,35,0,0,0,0,False
2015-01-18,54,7,0,0,0,False
2015-01-25,24,2,0,0,0,False
2015-02-01,44,2,0,0,0,False
2015-02-08,57,2,0,0,0,False
2015-02-15,53,3,0,0,0,False
2015-02-22,58,12,0,0,0,False
2015-03-01,44,5,0,0,0,False
2015-03-08,66,7,0,0,0,False
2015-03-15,66,5,0,0,0,False
2015-03-22,66,3,0,0,0,False
2015-03-29,44,10,0,0,0,False
2015-04-05,37,2,0,0,0,False
2015-04-12,73,7,0,0,0,False
2015-04-19,69,12,0,0,0,False
2015-04-26,52,0,0,0,0,False
2015-05-03,37,15,0,0,0,False
