date,latest android operating system,latest apple watch update,latest apple tv,latest apple ipad,a latest trick production,isPartial
2013-01-27,23,0,74,60,0,False
2013-02-03,17,0,92,49,0,False
2013-02-10,33,0,78,65,0,False
2013-02-17,26,0,43,43,0,False
2013-02-24,23,0,72,52,0,False
2013-03-03,20,0,49,67,0,False
2013-03-10,14,3,33,50,0,False
2013-03-17,17,0,73,50,0,False
2013-03-24,21,0,68,56,0,False
2013-03-31,17,0,63,40,0,False
2013-04-07,14,0,45,56,0,False
2013-04-14,17,0,31,48,0,False
2013-04-21,14,0,37,74,0,False
2013-04-28,9,0,32,49,0,False
2013-05-05,17,3,32,49,0,False
2013-05-12,3,0,17,39,0,False
2013-05-19,11,0,34,39,0,False
2013-05-26,9,0,57,71,0,False
2013-06-02,17,0,59,42,0,False
2013-06-09,8,3,36,39,0,False
2013-06-16,6,3,31,45,0,False
2013-06-23,17,0,58,63,0,False
2013-06-30,26,0,61,64,0,False
2013-07-07,9,0,50,53,0,False
2013-07-14,29,3,56,50,0,False
2013-07-21,3,0,63,63,0,False
2013-07-28,9,0,37,52,0,False
2013-08-04,29,0,61,64,0,False
2013-08-11,26,0,49,64,0,False
2013-08-18,28,0,40,20,0,False
2013-08-25,22,0,47,92,0,False
2013-09-01,11,0,36,60,0,False
2013-09-08,16,0,35,35,0,False
2013-09-15,21,0,75,54,0,False
2013-09-22,27,0,100,62,0,False
2013-09-29,34,0,90,61,0,False
2013-10-06,35,3,60,65,0,False
2013-10-13,13,0,46,57,0,False
2013-10-20,29,0,29,97,0,False
2013-10-27,11,3,71,71,0,False
2013-11-03,26,0,44,73,0,False
2013-11-10,8,0,61,48,0,False
2013-11-17,26,0,77,62,0,False
2013-11-24,21,0,87,92,0,False
2013-12-01,15,0,33,71,0,False
2013-12-08,24,0,66,79,0,False
2013-12-15,19,0,53,58,0,False
2013-12-22,29,0,82,73,0,False
2013-12-29,20,3,61,53,0,False
2014-01-05,15,3,50,30,0,False
2014-01-12,17,0,57,52,0,False
2014-01-19,35,0,72,47,0,False
2014-01-26,30,0,47,32,0,False
2014-02-02,34,0,41,44,0,False
2014-02-09,22,2,54,41,0,False
2014-02-16,20,0,37,55,0,False
2014-02-23,12,0,62,57,0,False
2014-03-02,10,0,62,47,0,False
2014-03-09,12,0,64,35,0,False
2014-03-16,17,2,76,51,0,False
2014-03-23,10,0,54,51,0,False
2014-03-30,15,0,57,49,0,False
2014-04-06,5,0,44,30,0,False
2014-04-13,15,0,54,49,0,False
2014-04-20,3,3,59,53,0,False
2014-04-27,25,0,60,50,0,False
2014-05-04,5,0,39,47,0,False
2014-05-11,12,0,41,37,0,False
2014-05-18,13,0,54,34,0,False
2014-05-25,8,3,44,35,0,False
2014-06-01,8,0,60,44,0,False
2014-06-08,14,0,39,36,0,False
2014-06-15,8,0,16,36,0,False
