date,science fair projects,science buddies,science news,science daily,science museum,isPartial
2013-01-27,34,12,30,19,66,False
2013-02-03,34,11,26,16,60,False
2013-02-10,28,10,31,17,74,False
2013-02-17,29,9,26,17,90,False
2013-02-24,30,9,32,19,76,False
2013-03-03,28,8,28,17,69,False
2013-03-10,23,6,28,17,80,False
2013-03-17,21,7,28,17,78,False
2013-03-24,16,5,24,15,100,False
2013-03-31,18,6,23,15,84,False
2013-04-07,23,6,24,16,70,False
2013-04-14,20,6,27,20,61,False
2013-04-21,21,6,27,17,53,False
2013-04-28,22,6,27,17,59,False
2013-05-05,19,6,27,18,53,False
2013-05-12,16,5,27,17,52,False
2013-05-19,10,4,25,16,65,False
2013-05-26,8,2,22,14,71,False
2013-06-02,5,2,21,15,64,False
2013-06-09,5,1,21,13,66,False
2013-06-16,4,1,21,13,64,False
2013-06-23,4,1,22,12,76,False
2013-06-30,3,1,18,10,75,False
2013-07-07,3,1,21,12,73,False
2013-07-14,4,1,22,13,73,False
2013-07-21,4,1,20,11,78,False
2013-07-28,5,1,21,11,85,False
2013-08-04,6,1,21,12,74,False
2013-08-11,8,1,22,15,75,False
2013-08-18,12,3,25,14,63,False
2013-08-25,16,5,30,17,65,False
2013-09-01,22,7,31,17,55,False
2013-09-08,29,9,34,19,49,False
2013-09-15,27,10,32,18,48,False
2013-09-22,29,8,37,19,55,False
2013-09-29,29,10,36,19,51,False
2013-10-06,29,11,33,18,59,False
2013-10-13,27,12,32,18,64,False
2013-10-20,27,12,36,16,60,False
2013-10-27,26,13,30,18,60,False
2013-11-03,30,15,32,19,54,False
2013-11-10,33,15,29,17,60,False
2013-11-17,31,13,26,18,56,False
2013-11-24,21,8,23,14,61,False
2013-12-01,38,15,29,18,47,False
2013-12-08,33,15,27,16,46,False
2013-12-15,24,11,25,15,47,False
2013-12-22,10,3,17,9,74,False
2013-12-29,18,8,17,11,90,False
2014-01-05,48,18,27,16,56,False
2014-01-12,45,20,29,16,62,False
2014-01-19,36,12,27,17,64,False
2014-01-26,37,14,27,16,57,False
2014-02-02,34,11,27,14,56,False
2014-02-09,28,9,25,16,58,False
2014-02-16,30,9,24,15,85,False
2014-02-23,33,12,29,19,64,False
2014-03-02,30,10,27,18,66,False
2014-03-09,23,9,27,16,70,False
2014-03-16,21,7,27,16,71,False
2014-03-23,21,7,25,17,76,False
2014-03-30,19,6,23,16,70,False
2014-04-06,19,7,23,16,68,False
2014-04-13,15,5,21,14,78,False
2014-04-20,20,7,24,16,62,False
2014-04-27,22,7,23,17,56,False
2014-05-04,18,7,24,17,51,False
2014-05-11,14,6,23,16,50,False
2014-05-18,11,4,21,14,58,False
2014-05-25,7,3,21,14,63,False
2014-06-01,7,3,22,14,58,False
2014-06-08,4,2,21,11,55,False
2014-06-15,4,1,20,11,56,False
2014-06-22,2,1,20,11,64,False
2014-06-29,2,1,19,9,67,False
2014-07-06,4,1,20,11,69,False
2014-07-13,4,1,18,11,72,False
2014-07-20,4,1,20,10,72,False
2014-07-27,4,1,20,10,81,False
2014-08-03,5,1,19,11,75,False
2014-08-10,7,2,22,11,70,False
2014-08-17,9,3,24,14,66,False
2014-08-24,14,6,25,16,61,False
2014-08-31,19,8,31,16,55,False
2014-09-07,25,11,31,19,43,False
2014-09-14,26,12,29,18,44,False
2014-09-21,24,12,27,18,45,False
2014-09-28,26,13,30,20,47,False
2014-10-05,23,13,30,18,47,False
2014-10-12,24,11,26,19,50,False
2014-10-19,24,13,27,18,50,False
2014-10-26,22,13,28,17,53,False
2014-11-02,25,16,28,18,49,False
2014-11-09,27,15,27,18,53,False
2014-11-16,31,17,27,17,48,False
2014-11-23,19,9,20,14,56,False
2014-11-30,33,19,26,16,48,False
2014-12-07,28,15,24,16,44,False
2014-12-14,24,13,21,13,45,False
2014-12-21,9,4,14,8,66,False
2014-12-28,15,7,16,9,98,False
2015-01-04,44,20,24,14,57,False
2015-01-11,46,17,25,16,55,False
2015-01-18,36,14,24,14,54,False
2015-01-25,32,12,23,16,53,False
2015-02-01,31,12,24,16,50,False
2015-02-08,27,11,24,17,59,False
2015-02-15,23,9,22,15,72,False
2015-02-22,28,10,26,17,56,False
2015-03-01,26,8,24,14,58,False
2015-03-08,20,8,23,14,61,False
2015-03-15,20,7,23,14,66,False
2015-03-22,18,6,22,15,69,False
2015-03-29,15,6,21,14,76,False
2015-04-05,16,6,22,14,67,False
2015-04-12,20,6,21,15,54,False
2015-04-19,19,6,22,15,54,False
2015-04-26,19,7,22,14,52,False
2015-05-03,16,7,22,14,48,False
2015-05-10,16,5,22,15,46,False
2015-05-17,8,5,22,13,55,False
2015-05-24,7,3,17,10,60,False
2015-05-31,5,2,23,14,55,False
2015-06-07,4,2,20,10,58,False
2015-06-14,3,1,19,9,64,False
2015-06-21,3,1,17,9,62,False
2015-06-28,3,1,21,8,69,False
2015-07-05,3,1,17,9,68,False
