date,science center,science fair ideas,science definition,science olympiad,science articles,isPartial
2013-01-27,73,24,34,18,13,False
2013-02-03,70,21,36,17,14,False
2013-02-10,78,17,34,17,14,False
2013-02-17,88,17,28,20,12,False
2013-02-24,74,17,33,19,15,False
2013-03-03,80,17,34,18,13,False
2013-03-10,77,15,28,15,12,False
2013-03-17,80,12,29,15,12,False
2013-03-24,95,9,22,9,9,False
2013-03-31,95,12,24,9,9,False
2013-04-07,76,12,28,9,10,False
2013-04-14,69,11,27,9,11,False
2013-04-21,71,10,28,8,11,False
2013-04-28,68,10,30,7,9,False
2013-05-05,65,9,26,6,10,False
2013-05-12,67,8,27,5,9,False
2013-05-19,74,5,26,8,10,False
2013-05-26,71,4,22,3,7,False
2013-06-02,70,3,36,3,7,False
2013-06-09,69,2,33,3,5,False
2013-06-16,70,2,31,2,4,False
2013-06-23,82,2,19,3,5,False
2013-06-30,86,2,15,4,4,False
2013-07-07,82,2,15,4,5,False
2013-07-14,87,2,12,5,5,False
2013-07-21,83,2,13,5,5,False
2013-07-28,85,3,12,6,4,False
2013-08-04,78,2,13,4,5,False
2013-08-11,72,4,21,4,7,False
2013-08-18,69,9,29,6,10,False
2013-08-25,69,13,40,6,14,False
2013-09-01,64,14,45,6,14,False
2013-09-08,54,18,56,8,20,False
2013-09-15,55,20,56,7,19,False
2013-09-22,61,21,50,8,17,False
2013-09-29,61,19,44,8,18,False
2013-10-06,66,19,44,9,17,False
2013-10-13,65,17,36,8,18,False
2013-10-20,58,16,36,10,18,False
2013-10-27,55,17,35,9,17,False
2013-11-03,63,18,40,12,15,False
2013-11-10,63,19,40,14,13,False
2013-11-17,60,18,39,11,14,False
2013-11-24,54,12,25,12,11,False
2013-12-01,53,18,34,12,15,False
2013-12-08,49,16,37,10,14,False
2013-12-15,52,13,31,8,11,False
2013-12-22,73,4,8,7,3,False
2013-12-29,88,10,13,10,5,False
2014-01-05,70,25,36,17,11,False
2014-01-12,72,24,42,16,13,False
2014-01-19,73,18,40,15,12,False
2014-01-26,66,17,38,18,11,False
2014-02-02,62,15,39,15,11,False
2014-02-09,69,14,37,16,13,False
2014-02-16,85,13,33,17,11,False
2014-02-23,80,14,40,21,14,False
2014-03-02,73,13,34,17,13,False
2014-03-09,78,11,36,15,12,False
2014-03-16,78,11,32,15,9,False
2014-03-23,86,8,32,11,10,False
2014-03-30,82,11,34,8,11,False
2014-04-06,74,8,34,8,9,False
2014-04-13,86,9,27,7,8,False
2014-04-20,76,8,30,6,9,False
2014-04-27,71,8,33,7,11,False
2014-05-04,67,10,36,5,9,False
2014-05-11,63,6,32,6,9,False
2014-05-18,67,5,29,7,8,False
2014-05-25,71,3,25,3,7,False
2014-06-01,70,3,39,3,6,False
2014-06-08,68,2,29,3,5,False
2014-06-15,70,2,31,2,4,False
2014-06-22,77,1,20,3,6,False
2014-06-29,79,2,16,3,3,False
2014-07-06,82,1,17,4,4,False
2014-07-13,82,1,14,4,4,False
2014-07-20,82,2,14,4,4,False
2014-07-27,87,2,15,3,4,False
2014-08-03,80,3,16,4,4,False
2014-08-10,77,4,25,4,6,False
2014-08-17,72,7,37,4,7,False
2014-08-24,65,10,46,6,10,False
2014-08-31,69,13,55,7,13,False
2014-09-07,58,17,69,7,16,False
2014-09-14,56,15,62,7,15,False
2014-09-21,57,17,53,8,14,False
2014-09-28,57,15,48,9,16,False
2014-10-05,63,13,48,8,13,False
2014-10-12,56,13,47,9,14,False
2014-10-19,58,14,43,8,14,False
2014-10-26,58,13,42,10,13,False
2014-11-02,63,16,42,12,13,False
2014-11-09,68,14,46,15,12,False
2014-11-16,60,15,47,14,11,False
2014-11-23,57,8,27,11,9,False
2014-11-30,59,17,43,12,13,False
2014-12-07,53,15,46,12,11,False
2014-12-14,53,9,37,10,9,False
2014-12-21,66,3,8,7,3,False
2014-12-28,98,6,12,10,3,False
2015-01-04,65,19,40,15,8,False
2015-01-11,62,20,43,17,10,False
2015-01-18,67,15,40,17,9,False
2015-01-25,58,12,44,16,10,False
2015-02-01,59,12,45,16,12,False
2015-02-08,63,11,43,15,10,False
2015-02-15,65,10,33,14,10,False
2015-02-22,63,11,41,17,11,False
2015-03-01,65,9,39,16,10,False
2015-03-08,68,9,40,16,10,False
2015-03-15,69,8,40,11,8,False
2015-03-22,75,8,36,11,9,False
2015-03-29,79,6,33,7,8,False
2015-04-05,82,7,31,6,8,False
2015-04-12,67,6,44,9,9,False
2015-04-19,64,7,46,8,9,False
2015-04-26,60,8,45,6,10,False
2015-05-03,56,7,41,4,8,False
2015-05-10,62,5,45,6,8,False
2015-05-17,65,3,41,6,9,False
2015-05-24,65,3,33,3,7,False
2015-05-31,62,2,43,4,6,False
2015-06-07,66,2,38,2,5,False
2015-06-14,73,2,37,2,5,False
2015-06-21,71,2,28,2,4,False
2015-06-28,71,2,20,2,4,False
2015-07-05,74,1,20,4,4,False
2015-07-12,75,1,18,4,3,False
2015-07-19,73,2,20,3,5,False
2015-07-26,73,1,22,3,4,False
2015-08-02,73,2,22,4,4,False
2015-08-09,72,4,32,5,6,False
2015-08-16,63,6,44,5,6,False
2015-08-23,59,8,62,6,10,False
2015-08-30,62,11,71,7,12,False
2015-09-06,58,12,77,7,15,False
2015-09-13,56,13,86,8,15,False
2015-09-20,54,13,75,8,15,False
2015-09-27,57,11,73,9,15,False
2015-10-04,51,11,72,10,11,False
2015-10-11,52,10,65,11,12,False
2015-10-18,52,9,63,12,14,False
2015-10-25,50,10,60,11,13,False
2015-11-01,58,11,67,17,12,False
2015-11-08,55,9,64,12,11,False
2015-11-15,49,12,66,12,11,False
2015-11-22,48,6,38,8,7,False
2015-11-29,47,12,61,12,13,False
2015-12-06,50,9,67,13,12,False
2015-12-13,51,8,56,14,9,False
2015-12-20,61,3,15,8,3,False
2015-12-27,87,4,16,6,3,False
2016-01-03,56,14,56,14,9,False
2016-01-10,56,15,60,16,9,False
2016-01-17,61,11,60,13,9,False
2016-01-24,53,10,62,14,10,False
2016-01-31,54,9,67,15,10,False
2016-02-07,60,9,57,15,9,False
2016-02-14,69,7,46,13,9,False
2016-02-21,58,8,60,16,10,False
2016-02-28,61,7,57,17,10,False
2016-03-06,59,6,59,16,8,False
2016-03-13,57,6,50,12,7,False
2016-03-20,69,5,41,8,6,False
2016-03-27,74,4,38,6,7,False
2016-04-03,65,7,51,8,9,False
2016-04-10,58,6,54,9,8,False
2016-04-17,53,4,54,8,7,False
2016-04-24,55,5,55,6,7,False
2016-05-01,52,6,61,4,7,False
2016-05-08,55,4,54,5,6,False
2016-05-15,58,3,52,5,6,False
2016-05-22,60,3,44,5,5,False
2016-05-29,59,2,37,3,4,False
2016-06-05,56,1,37,3,4,False
2016-06-12,55,2,44,3,4,False
2016-06-19,57,1,34,2,3,False
2016-06-26,61,1,23,3,3,False
2016-07-03,66,1,19,3,4,False
2016-07-10,59,1,19,3,3,False
2016-07-17,67,1,22,2,4,False
2016-07-24,65,2,21,4,3,False
2016-07-31,59,2,21,5,4,False
2016-08-07,59,3,29,4,4,False
