date,science,science a-z,science articles for kids,science and technology,science advances impact factor,isPartial
2013-01-27,86,0,0,2,0,False
2013-02-03,87,0,0,2,0,False
2013-02-10,89,0,0,2,0,False
2013-02-17,90,0,0,3,0,False
2013-02-24,91,0,0,2,0,False
2013-03-03,92,0,0,3,0,False
2013-03-10,85,0,0,3,0,False
2013-03-17,85,0,0,2,0,False
2013-03-24,79,0,0,2,0,False
2013-03-31,77,0,0,2,0,False
2013-04-07,82,0,0,2,0,False
2013-04-14,83,0,0,2,0,False
2013-04-21,85,0,0,2,0,False
2013-04-28,85,0,0,2,0,False
2013-05-05,87,0,0,2,0,False
2013-05-12,84,0,0,2,0,False
2013-05-19,79,0,0,2,0,False
2013-05-26,74,0,0,3,0,False
2013-06-02,81,0,0,3,0,False
2013-06-09,78,0,0,3,0,False
2013-06-16,76,0,0,3,0,False
2013-06-23,70,0,0,3,0,False
2013-06-30,67,0,0,2,0,False
2013-07-07,69,0,0,3,0,False
2013-07-14,70,0,0,2,0,False
2013-07-21,68,0,0,2,0,False
2013-07-28,68,0,0,2,0,False
2013-08-04,67,0,0,2,0,False
2013-08-11,71,0,0,2,0,False
2013-08-18,76,0,0,2,0,False
2013-08-25,84,0,0,3,0,False
2013-09-01,90,0,0,3,0,False
2013-09-08,94,0,0,3,0,False
2013-09-15,93,0,0,3,0,False
2013-09-22,91,0,0,3,0,False
2013-09-29,88,0,0,2,0,False
2013-10-06,91,0,0,2,0,False
2013-10-13,88,0,0,2,0,False
2013-10-20,88,0,0,2,0,False
2013-10-27,79,0,0,2,0,False
2013-11-03,88,0,0,2,0,False
2013-11-10,89,0,0,2,0,False
2013-11-17,88,0,0,2,0,False
2013-11-24,76,0,0,2,0,False
2013-12-01,84,0,0,2,0,False
2013-12-08,82,0,0,2,0,False
2013-12-15,73,0,0,2,0,False
2013-12-22,54,0,0,2,0,False
2013-12-29,65,0,0,2,0,False
2014-01-05,85,0,0,2,0,False
2014-01-12,92,0,0,2,0,False
2014-01-19,89,0,0,3,0,False
2014-01-26,90,0,0,2,0,False
2014-02-02,87,0,0,3,0,False
2014-02-09,86,0,0,2,0,False
2014-02-16,90,0,0,2,0,False
2014-02-23,94,0,0,3,0,False
2014-03-02,92,0,0,2,0,False
2014-03-09,89,0,0,2,0,False
2014-03-16,85,0,0,2,0,False
2014-03-23,84,0,0,2,0,False
2014-03-30,85,0,0,2,0,False
2014-04-06,83,0,0,2,0,False
2014-04-13,77,0,0,2,0,False
2014-04-20,83,0,0,2,0,False
2014-04-27,84,0,0,2,0,False
2014-05-04,88,0,0,2,0,False
2014-05-11,83,0,0,2,0,False
2014-05-18,85,0,0,2,0,False
2014-05-25,76,0,0,2,0,False
2014-06-01,85,0,0,3,0,False
2014-06-08,79,0,0,3,0,False
2014-06-15,79,0,0,3,0,False
2014-06-22,74,0,0,2,0,False
2014-06-29,70,0,0,3,0,False
2014-07-06,72,0,0,2,0,False
2014-07-13,69,0,0,2,0,False
2014-07-20,71,0,0,2,0,False
2014-07-27,69,0,0,2,0,False
2014-08-03,73,0,0,2,0,False
2014-08-10,75,0,0,2,0,False
2014-08-17,83,0,0,3,0,False
2014-08-24,87,0,0,3,0,False
2014-08-31,90,0,0,3,0,False
2014-09-07,97,0,0,3,0,False
2014-09-14,95,0,0,3,0,False
2014-09-21,92,0,0,3,0,False
2014-09-28,88,0,0,2,0,False
2014-10-05,88,0,0,2,0,False
2014-10-12,85,0,0,2,0,False
2014-10-19,87,0,0,2,0,False
2014-10-26,85,0,0,2,0,False
2014-11-02,90,0,0,2,0,False
2014-11-09,97,0,0,3,0,False
2014-11-16,91,0,0,3,0,False
2014-11-23,76,0,0,2,0,False
2014-11-30,86,0,0,2,0,False
2014-12-07,86,0,0,2,0,False
2014-12-14,78,0,0,2,0,False
2014-12-21,58,0,0,2,0,False
2014-12-28,63,0,0,2,0,False
2015-01-04,86,0,0,2,0,False
2015-01-11,94,0,0,2,0,False
2015-01-18,88,0,0,2,0,False
2015-01-25,91,0,0,2,0,False
2015-02-01,91,0,0,2,0,False
2015-02-08,87,0,0,2,0,False
2015-02-15,85,0,0,2,0,False
2015-02-22,98,0,0,2,0,False
2015-03-01,91,0,0,2,0,False
2015-03-08,87,0,0,2,0,False
2015-03-15,89,0,0,2,0,False
2015-03-22,83,0,0,2,0,False
2015-03-29,81,0,0,2,0,False
2015-04-05,80,0,0,2,0,False
2015-04-12,84,0,0,2,0,False
2015-04-19,84,0,0,2,0,False
2015-04-26,85,0,0,2,0,False
2015-05-03,85,0,0,2,0,False
2015-05-10,86,0,0,2,0,False
2015-05-17,87,0,0,2,0,False
2015-05-24,82,0,0,2,0,False
2015-05-31,87,0,0,3,0,False
2015-06-07,86,0,0,2,0,False
2015-06-14,81,0,0,2,0,False
2015-06-21,75,0,0,2,0,False
2015-06-28,74,0,0,2,0,False
2015-07-05,70,0,0,2,0,False
2015-07-12,69,0,0,2,0,False
2015-07-19,70,0,0,2,0,False
2015-07-26,71,0,0,2,0,False
2015-08-02,72,0,0,2,0,False
2015-08-09,74,0,0,2,0,False
2015-08-16,81,0,0,2,0,False
2015-08-23,88,0,0,2,0,False
2015-08-30,88,0,0,2,0,False
2015-09-06,92,0,0,2,0,False
2015-09-13,94,0,0,3,0,False
2015-09-20,95,0,0,2,0,False
2015-09-27,92,0,0,2,0,False
2015-10-04,92,0,0,2,0,False
2015-10-11,90,0,0,2,0,False
2015-10-18,88,0,0,2,0,False
2015-10-25,88,0,0,2,0,False
2015-11-01,91,0,0,2,0,False
2015-11-08,89,0,0,2,0,False
2015-11-15,86,0,0,2,0,False
2015-11-22,77,0,0,2,0,False
2015-11-29,89,0,0,2,0,False
2015-12-06,85,0,0,2,0,False
2015-12-13,80,0,0,2,0,False
2015-12-20,58,0,0,2,0,False
2015-12-27,65,0,0,2,0,False
2016-01-03,89,0,0,2,0,False
2016-01-10,90,0,0,2,0,False
2016-01-17,88,0,0,2,0,False
2016-01-24,90,0,0,2,0,False
2016-01-31,91,0,0,2,0,False
2016-02-07,89,0,0,2,0,False
2016-02-14,85,0,0,2,0,False
2016-02-21,95,0,0,2,0,False
2016-02-28,92,0,0,2,0,False
2016-03-06,88,0,0,2,0,False
2016-03-13,87,0,0,2,0,False
2016-03-20,78,0,0,2,0,False
2016-03-27,77,0,0,2,0,False
2016-04-03,83,0,0,2,0,False
2016-04-10,86,0,0,2,0,False
2016-04-17,83,0,0,2,0,False
2016-04-24,84,0,0,2,0,False
2016-05-01,84,0,0,2,0,False
2016-05-08,87,0,0,2,0,False
2016-05-15,86,0,0,2,0,False
2016-05-22,81,0,0,2,0,False
2016-05-29,78,0,0,2,0,False
2016-06-05,76,0,0,2,0,False
2016-06-12,81,0,0,2,0,False
2016-06-19,76,0,0,2,0,False
2016-06-26,70,0,0,2,0,False
2016-07-03,68,0,0,2,0,False
2016-07-10,66,0,0,2,0,False
2016-07-17,69,0,0,2,0,False
2016-07-24,68,0,0,2,0,False
2016-07-31,69,0,0,2,0,False
2016-08-07,71,0,0,2,0,False
2016-08-14,74,0,0,2,0,False
2016-08-21,83,0,0,2,0,False
2016-08-28,89,0,0,2,0,False
2016-09-04,92,0,0,2,0,False
2016-09-11,96,0,0,2,0,False
2016-09-18,95,0,0,3,0,False
2016-09-25,90,0,0,2,0,False
2016-10-02,85,0,0,2,0,False
2016-10-09,85,0,0,2,0,False
2016-10-16,89,0,0,2,0,False
2016-10-23,87,0,0,2,0,False
2016-10-30,90,0,0,2,0,False
2016-11-06,88,0,0,2,0,False
2016-11-13,92,0,0,2,0,False
2016-11-20,76,0,0,2,0,False
2016-11-27,90,0,0,2,0,False
2016-12-04,88,0,0,2,0,False
2016-12-11,81,0,0,2,0,False
2016-12-18,68,0,0,2,0,False
2016-12-25,61,0,0,2,0,False
2017-01-01,82,0,0,2,0,False
2017-01-08,93,0,0,2,0,False
2017-01-15,94,0,0,2,0,False
2017-01-22,94,0,0,2,0,False
2017-01-29,96,0,0,2,0,False
2017-02-05,91,0,0,2,0,False
2017-02-12,91,0,0,2,0,False
2017-02-19,93,0,0,2,0,False
2017-02-26,100,0,0,2,0,False
2017-03-05,94,0,0,2,0,False
2017-03-12,90,0,0,2,0,False
2017-03-19,93,0,0,2,0,False
2017-03-26,87,0,0,2,0,False
2017-04-02,85,0,0,2,0,False
2017-04-09,81,0,0,2,0,False
2017-04-16,98,0,0,2,0,False
2017-04-23,94,0,0,2,0,False
2017-04-30,86,0,0,2,0,False
2017-05-07,87,0,0,2,0,False
2017-05-14,92,0,0,2,0,False
2017-05-21,81,0,0,2,0,False
2017-05-28,83,0,0,2,0,False
2017-06-04,81,0,0,2,0,False
2017-06-11,81,0,0,2,0,False
2017-06-18,80,0,0,2,0,False
2017-06-25,75,0,0,2,0,False
2017-07-02,73,0,0,2,0,False
2017-07-09,76,0,0,2,0,False
2017-07-16,71,0,0,2,0,False
2017-07-23,74,0,0,2,0,False
2017-07-30,73,0,0,2,0,False
2017-08-06,77,0,0,2,0,False
2017-08-13,82,0,0,2,0,False
2017-08-20,91,0,0,2,0,False
2017-08-27,86,0,0,2,0,False
2017-09-03,88,0,0,2,0,False
2017-09-10,98,0,0,3,0,False
2017-09-17,94,0,0,2,0,False
2017-09-24,87,0,0,2,0,False
2017-10-01,86,0,0,2,0,False
2017-10-08,89,0,0,2,0,False
2017-10-15,86,0,0,2,0,False
2017-10-22,90,0,0,2,0,False
2017-10-29,88,0,0,2,0,False
2017-11-05,93,0,0,2,0,False
2017-11-12,92,0,0,2,0,False
2017-11-19,76,0,0,2,0,False
2017-11-26,87,0,0,2,0,False
2017-12-03,87,0,0,2,0,False
2017-12-10,81,0,0,2,0,False
2017-12-17,72,0,0,2,0,False
2017-12-24,61,0,0,1,0,False
2017-12-31,74,0,0,2,0,False
2018-01-07,92,0,0,2,0,False
2018-01-14,92,0,0,2,0,False
2018-01-21,82,0,0,2,0,True
