date,science and engineering practices,sciencealert,science academy,science articles 2017,science activities for kids,isPartial
2013-01-27,0,1,97,0,7,False
2013-02-03,0,1,87,0,8,False
2013-02-10,0,1,92,0,8,False
2013-02-17,0,0,84,0,9,False
2013-02-24,0,1,96,0,7,False
2013-03-03,0,0,100,0,8,False
2013-03-10,0,1,87,0,7,False
2013-03-17,0,1,87,0,9,False
2013-03-24,0,0,87,0,9,False
2013-03-31,0,2,81,0,8,False
2013-04-07,0,0,80,0,8,False
2013-04-14,0,0,81,0,10,False
2013-04-21,0,1,81,0,10,False
2013-04-28,1,0,86,0,7,False
2013-05-05,0,0,82,0,8,False
2013-05-12,0,0,83,0,10,False
2013-05-19,0,0,82,0,7,False
2013-05-26,0,0,85,0,7,False
2013-06-02,0,1,81,0,8,False
2013-06-09,0,1,73,0,9,False
2013-06-16,0,1,80,0,10,False
2013-06-23,0,1,82,0,8,False
2013-06-30,0,1,69,0,8,False
2013-07-07,0,1,82,0,8,False
2013-07-14,0,0,78,0,7,False
2013-07-21,0,0,82,0,6,False
2013-07-28,0,1,88,0,5,False
2013-08-04,0,0,84,0,5,False
2013-08-11,0,0,90,0,5,False
2013-08-18,0,1,100,0,8,False
2013-08-25,0,1,83,0,8,False
2013-09-01,0,0,91,0,9,False
2013-09-08,0,1,100,0,10,False
2013-09-15,1,0,96,0,11,False
2013-09-22,0,1,92,0,8,False
2013-09-29,0,2,86,0,9,False
2013-10-06,0,1,84,0,10,False
2013-10-13,1,0,83,0,6,False
2013-10-20,0,1,78,0,7,False
2013-10-27,0,0,81,0,8,False
2013-11-03,1,0,80,0,9,False
2013-11-10,0,1,89,0,10,False
2013-11-17,0,0,78,0,7,False
2013-11-24,0,2,68,0,6,False
2013-12-01,0,1,82,0,7,False
2013-12-08,0,0,82,0,8,False
2013-12-15,0,0,79,0,4,False
2013-12-22,0,1,47,0,3,False
2013-12-29,0,1,60,0,4,False
2014-01-05,1,1,81,0,4,False
2014-01-12,0,0,87,0,6,False
2014-01-19,0,0,91,0,5,False
2014-01-26,0,0,93,0,5,False
2014-02-02,0,1,90,0,4,False
2014-02-09,0,1,84,0,5,False
2014-02-16,0,1,82,0,5,False
2014-02-23,0,1,95,0,5,False
2014-03-02,0,0,89,0,4,False
2014-03-09,0,0,82,0,6,False
2014-03-16,0,0,71,0,5,False
2014-03-23,0,1,85,0,6,False
2014-03-30,1,0,80,0,4,False
2014-04-06,0,1,79,0,5,False
2014-04-13,0,1,73,0,5,False
2014-04-20,0,0,85,0,6,False
2014-04-27,1,0,80,0,5,False
2014-05-04,1,0,82,0,5,False
2014-05-11,0,0,81,0,5,False
2014-05-18,0,1,83,0,4,False
2014-05-25,0,1,76,0,4,False
2014-06-01,0,0,76,0,6,False
