date,technology definition,technology synonym,technology gifts,technology stocks,technology jobs,isPartial
2013-01-27,37,5,2,4,82,False
2013-02-03,36,3,1,3,86,False
2013-02-10,34,4,2,4,77,False
2013-02-17,35,4,0,3,76,False
2013-02-24,38,7,1,2,82,False
2013-03-03,42,3,1,3,76,False
2013-03-10,34,4,2,2,85,False
2013-03-17,40,4,2,3,83,False
2013-03-24,29,2,1,3,78,False
2013-03-31,29,4,1,1,83,False
2013-04-07,38,2,1,2,87,False
2013-04-14,37,4,2,2,83,False
2013-04-21,37,4,1,3,83,False
2013-04-28,35,5,1,3,84,False
2013-05-05,33,2,2,2,82,False
2013-05-12,35,3,2,3,81,False
2013-05-19,30,3,1,2,80,False
2013-05-26,23,3,1,2,69,False
2013-06-02,47,4,1,2,87,False
2013-06-09,38,3,2,2,72,False
2013-06-16,37,2,1,3,83,False
2013-06-23,33,3,2,1,89,False
2013-06-30,20,2,1,2,80,False
2013-07-07,23,3,2,2,86,False
2013-07-14,27,4,1,2,85,False
2013-07-21,24,3,1,2,86,False
2013-07-28,27,3,2,2,80,False
2013-08-04,24,2,2,2,76,False
2013-08-11,31,3,2,3,87,False
2013-08-18,33,4,2,2,84,False
2013-08-25,43,5,1,2,84,False
2013-09-01,43,4,2,1,83,False
2013-09-08,50,5,1,2,85,False
2013-09-15,53,4,1,1,91,False
2013-09-22,45,4,2,3,74,False
2013-09-29,41,5,1,4,77,False
2013-10-06,40,4,2,2,81,False
2013-10-13,41,5,2,3,74,False
2013-10-20,41,5,1,2,82,False
2013-10-27,39,5,2,3,76,False
2013-11-03,41,4,3,3,70,False
2013-11-10,42,4,3,4,82,False
2013-11-17,41,5,4,2,77,False
2013-11-24,33,4,8,3,68,False
2013-12-01,41,5,10,4,68,False
2013-12-08,41,4,10,4,77,False
2013-12-15,30,3,11,5,68,False
2013-12-22,14,2,3,4,52,False
2013-12-29,18,2,1,3,64,False
2014-01-05,31,4,2,4,81,False
2014-01-12,42,6,1,5,91,False
2014-01-19,40,5,2,4,85,False
2014-01-26,38,5,2,4,83,False
2014-02-02,46,5,1,4,81,False
2014-02-09,35,4,2,3,79,False
2014-02-16,34,5,2,4,82,False
2014-02-23,43,5,1,4,87,False
2014-03-02,46,4,2,5,88,False
2014-03-09,43,7,1,4,80,False
2014-03-16,37,5,1,3,78,False
2014-03-23,40,6,1,3,79,False
2014-03-30,39,5,1,5,83,False
2014-04-06,42,4,1,3,82,False
2014-04-13,33,5,2,4,79,False
2014-04-20,35,6,2,4,83,False
2014-04-27,36,6,1,4,81,False
2014-05-04,40,6,2,5,78,False
