date,technology credit union,technology in spanish,technology high school,technology student association,technology articles,isPartial
2013-01-27,9,4,58,4,37,False
2013-02-03,4,7,53,3,43,False
2013-02-10,6,4,46,3,40,False
2013-02-17,4,4,56,4,38,False
2013-02-24,7,5,56,6,41,False
2013-03-03,8,4,53,3,34,False
2013-03-10,10,4,52,6,35,False
2013-03-17,5,5,63,2,33,False
2013-03-24,9,4,40,2,26,False
2013-03-31,6,3,44,1,30,False
2013-04-07,7,3,51,3,36,False
2013-04-14,8,5,49,2,42,False
2013-04-21,5,4,49,2,38,False
2013-04-28,7,4,51,2,34,False
2013-05-05,7,3,56,1,37,False
2013-05-12,6,5,43,2,26,False
2013-05-19,9,4,53,1,18,False
2013-05-26,8,4,46,3,20,False
2013-06-02,5,4,45,2,23,False
2013-06-09,5,3,48,2,17,False
2013-06-16,4,4,37,0,23,False
2013-06-23,5,1,49,2,16,False
2013-06-30,7,2,32,2,18,False
2013-07-07,9,1,39,0,21,False
2013-07-14,9,3,44,2,19,False
2013-07-21,11,2,46,1,20,False
2013-07-28,6,2,41,1,27,False
2013-08-04,10,2,41,1,21,False
2013-08-11,7,2,48,1,20,False
2013-08-18,10,5,47,1,28,False
2013-08-25,9,2,62,3,34,False
2013-09-01,6,4,55,5,31,False
2013-09-08,7,5,44,3,50,False
2013-09-15,4,6,47,5,43,False
2013-09-22,6,4,45,3,45,False
2013-09-29,5,4,46,4,40,False
2013-10-06,7,4,43,3,49,False
2013-10-13,8,3,45,3,32,False
2013-10-20,2,5,55,1,38,False
2013-10-27,6,3,54,3,37,False
2013-11-03,5,5,53,2,35,False
2013-11-10,9,6,46,2,41,False
2013-11-17,7,2,55,2,34,False
2013-11-24,4,2,40,1,24,False
2013-12-01,9,6,48,4,42,False
2013-12-08,7,4,48,4,33,False
2013-12-15,8,3,35,2,28,False
2013-12-22,3,3,23,1,8,False
2013-12-29,6,2,26,2,14,False
2014-01-05,8,6,56,2,24,False
2014-01-12,6,3,47,3,32,False
2014-01-19,5,6,54,2,40,False
2014-01-26,8,4,50,2,31,False
2014-02-02,8,2,55,5,36,False
2014-02-09,5,6,52,3,30,False
2014-02-16,4,2,41,4,36,False
2014-02-23,5,2,47,3,43,False
2014-03-02,7,6,60,5,35,False
2014-03-09,10,4,61,3,35,False
2014-03-16,8,4,55,3,30,False
2014-03-23,7,3,48,3,31,False
2014-03-30,7,5,42,4,30,False
2014-04-06,6,3,43,3,34,False
2014-04-13,9,1,34,2,26,False
2014-04-20,7,4,43,3,32,False
2014-04-27,6,4,43,2,27,False
2014-05-04,4,4,47,2,34,False
2014-05-11,7,3,46,1,26,False
2014-05-18,3,5,49,1,23,False
2014-05-25,6,3,39,0,20,False
2014-06-01,6,2,50,1,16,False
2014-06-08,5,3,42,1,17,False
2014-06-15,5,2,44,3,20,False
2014-06-22,8,2,37,2,18,False
2014-06-29,6,3,30,4,17,False
2014-07-06,9,1,32,3,18,False
2014-07-13,8,1,33,0,22,False
2014-07-20,5,2,39,2,17,False
2014-07-27,7,2,38,0,20,False
2014-08-03,10,1,40,0,15,False
2014-08-10,10,2,50,2,20,False
2014-08-17,8,2,46,4,22,False
2014-08-24,7,6,50,3,28,False
2014-08-31,7,6,51,3,28,False
2014-09-07,8,5,45,3,39,False
2014-09-14,2,5,58,8,34,False
2014-09-21,8,8,51,2,39,False
2014-09-28,7,5,46,5,44,False
2014-10-05,5,3,50,2,34,False
2014-10-12,7,4,51,2,34,False
2014-10-19,5,8,46,3,37,False
2014-10-26,7,5,43,3,35,False
2014-11-02,7,4,51,4,33,False
2014-11-09,7,4,49,2,41,False
2014-11-16,7,5,50,2,41,False
2014-11-23,5,4,30,3,22,False
2014-11-30,7,6,49,3,32,False
2014-12-07,8,6,42,2,33,False
2014-12-14,3,2,41,1,24,False
2014-12-21,5,2,20,1,8,False
2014-12-28,5,2,19,0,8,False
2015-01-04,6,5,41,3,25,False
2015-01-11,7,4,50,4,26,False
2015-01-18,4,6,49,2,25,False
2015-01-25,8,3,48,3,29,False
2015-02-01,8,3,51,4,39,False
2015-02-08,6,6,46,2,31,False
2015-02-15,4,4,41,2,26,False
2015-02-22,6,2,49,3,33,False
2015-03-01,9,4,53,3,34,False
