date,breaking news headlines,breaking news chicago,breaking news earthquake today,breaking news cnn,breaking news today,isPartial
2013-01-27,1,11,0,6,6,False
2013-02-03,0,10,0,7,6,False
2013-02-10,1,11,0,13,6,False
2013-02-17,1,10,0,8,8,False
2013-02-24,1,11,0,6,6,False
2013-03-03,1,8,0,8,7,False
2013-03-10,1,11,0,9,7,False
2013-03-17,0,12,0,6,8,False
2013-03-24,1,12,0,7,6,False
2013-03-31,0,10,0,10,7,False
2013-04-07,1,11,1,9,8,False
2013-04-14,1,17,3,56,17,False
2013-04-21,1,10,0,11,8,False
2013-04-28,1,12,0,8,7,False
2013-05-05,1,10,0,12,9,False
2013-05-12,1,11,0,7,8,False
2013-05-19,0,11,1,9,9,False
2013-05-26,1,12,0,7,6,False
2013-06-02,1,10,0,6,6,False
2013-06-09,1,11,0,8,7,False
2013-06-16,1,11,0,7,9,False
2013-06-23,1,12,0,8,9,False
2013-06-30,1,11,0,9,7,False
2013-07-07,1,13,0,11,9,False
2013-07-14,1,10,0,11,8,False
2013-07-21,1,10,0,10,10,False
2013-07-28,1,10,0,8,8,False
2013-08-04,1,9,0,9,9,False
2013-08-11,1,9,0,9,10,False
2013-08-18,0,10,0,7,9,False
2013-08-25,1,9,1,11,10,False
2013-09-01,1,9,0,11,9,False
2013-09-08,1,9,0,9,9,False
2013-09-15,1,10,0,14,9,False
2013-09-22,1,9,0,9,10,False
2013-09-29,1,11,0,19,11,False
2013-10-06,1,8,0,9,10,False
2013-10-13,1,7,1,11,7,False
2013-10-20,1,8,0,8,8,False
2013-10-27,1,9,0,9,7,False
2013-11-03,1,9,0,8,8,False
2013-11-10,1,9,1,8,9,False
2013-11-17,1,9,0,7,8,False
2013-11-24,1,7,0,6,7,False
2013-12-01,1,7,0,9,9,False
2013-12-08,1,8,0,8,8,False
2013-12-15,1,8,0,8,8,False
2013-12-22,1,9,0,7,8,False
2013-12-29,1,10,0,7,9,False
2014-01-05,1,10,0,6,8,False
2014-01-12,1,8,1,6,8,False
2014-01-19,1,8,0,8,9,False
2014-01-26,1,8,0,7,8,False
2014-02-02,1,9,0,8,8,False
2014-02-09,1,8,0,7,10,False
2014-02-16,1,8,0,7,9,False
2014-02-23,1,8,0,7,10,False
2014-03-02,1,7,0,14,10,False
2014-03-09,1,9,0,28,13,False
2014-03-16,1,12,1,24,10,False
2014-03-23,1,10,2,20,14,False
2014-03-30,1,8,1,15,10,False
2014-04-06,1,9,0,13,9,False
2014-04-13,1,10,0,12,10,False
2014-04-20,1,11,0,11,10,False
2014-04-27,1,10,0,9,12,False
2014-05-04,1,9,1,8,11,False
2014-05-11,1,8,0,8,16,False
2014-05-18,1,7,1,8,13,False
2014-05-25,0,8,0,7,10,False
2014-06-01,1,10,0,7,14,False
2014-06-08,1,9,0,9,11,False
2014-06-15,1,7,0,7,10,False
2014-06-22,1,8,1,7,12,False
2014-06-29,1,8,0,7,11,False
2014-07-06,1,9,0,8,13,False
2014-07-13,1,9,0,16,13,False
2014-07-20,1,9,0,14,13,False
2014-07-27,1,12,0,10,14,False
2014-08-03,1,10,0,11,11,False
2014-08-10,1,8,0,13,13,False
2014-08-17,1,10,0,10,11,False
2014-08-24,2,8,1,10,13,False
2014-08-31,1,7,0,11,12,False
2014-09-07,1,8,0,10,11,False
2014-09-14,1,7,0,9,12,False
2014-09-21,1,9,0,11,13,False
2014-09-28,1,7,0,11,11,False
2014-10-05,1,10,0,12,12,False
2014-10-12,1,7,0,11,12,False
2014-10-19,1,7,0,13,11,False
2014-10-26,1,7,0,9,12,False
2014-11-02,1,8,0,9,10,False
2014-11-09,1,7,0,8,12,False
2014-11-16,1,8,0,9,11,False
2014-11-23,1,9,0,12,13,False
2014-11-30,1,8,0,8,11,False
2014-12-07,1,8,0,7,13,False
2014-12-14,2,7,0,11,14,False
2014-12-21,1,9,0,8,11,False
2014-12-28,1,10,0,12,15,False
2015-01-04,1,9,0,15,14,False
2015-01-11,1,7,0,9,12,False
2015-01-18,1,6,0,8,11,False
2015-01-25,1,6,0,8,11,False
2015-02-01,1,7,0,10,12,False
2015-02-08,1,6,0,9,15,False
2015-02-15,1,6,0,9,12,False
2015-02-22,1,7,0,8,12,False
2015-03-01,1,7,0,8,12,False
2015-03-08,1,7,0,7,12,False
2015-03-15,1,7,0,8,13,False
2015-03-22,1,7,0,12,16,False
2015-03-29,2,7,0,9,15,False
2015-04-05,1,8,0,8,13,False
2015-04-12,1,7,0,7,14,False
2015-04-19,1,8,12,8,30,False
2015-04-26,2,7,7,12,21,False
2015-05-03,1,6,2,8,15,False
2015-05-10,1,7,13,10,29,False
2015-05-17,1,7,2,8,13,False
2015-05-24,1,8,2,8,15,False
2015-05-31,1,8,1,7,16,False
2015-06-07,1,7,1,9,16,False
2015-06-14,2,9,0,10,16,False
2015-06-21,1,8,1,13,17,False
2015-06-28,2,7,1,13,17,False
2015-07-05,1,9,0,10,18,False
2015-07-12,2,8,0,10,19,False
2015-07-19,1,7,1,10,20,False
2015-07-26,2,8,1,11,27,False
2015-08-02,1,8,0,10,18,False
2015-08-09,1,7,2,10,19,False
2015-08-16,2,7,0,10,18,False
2015-08-23,2,8,0,14,19,False
2015-08-30,2,10,1,9,16,False
2015-09-06,1,9,0,10,17,False
2015-09-13,1,9,1,10,19,False
2015-09-20,2,6,1,10,18,False
2015-09-27,1,7,0,14,17,False
2015-10-04,1,6,1,10,16,False
2015-10-11,1,5,1,9,18,False
2015-10-18,1,7,1,9,17,False
2015-10-25,2,7,15,9,34,False
2015-11-01,1,8,1,9,17,False
2015-11-08,2,8,1,16,19,False
2015-11-15,2,7,1,22,20,False
2015-11-22,2,14,2,15,19,False
2015-11-29,2,11,1,21,22,False
2015-12-06,1,10,2,13,20,False
2015-12-13,1,8,1,12,19,False
2015-12-20,1,8,4,10,20,False
2015-12-27,1,10,4,12,21,False
2016-01-03,1,7,5,10,22,False
2016-01-10,2,7,1,11,20,False
2016-01-17,2,6,1,10,18,False
2016-01-24,2,6,1,9,17,False
2016-01-31,1,8,1,10,16,False
2016-02-07,2,6,0,9,16,False
2016-02-14,2,7,1,10,20,False
2016-02-21,2,7,1,11,19,False
2016-02-28,2,6,1,11,18,False
2016-03-06,2,8,1,11,18,False
2016-03-13,2,8,0,12,18,False
