date,breaking news,breaking news near me,breaking news alaska earthquake,breaking news abc,breaking news app,isPartial
2013-01-27,32,0,0,0,0,False
2013-02-03,35,0,0,0,0,False
2013-02-10,43,0,0,1,0,False
2013-02-17,37,0,0,0,0,False
2013-02-24,33,0,0,0,0,False
2013-03-03,40,0,0,0,0,False
2013-03-10,39,0,0,0,0,False
2013-03-17,38,0,0,0,0,False
2013-03-24,36,0,0,0,0,False
2013-03-31,39,0,0,0,0,False
2013-04-07,38,0,0,0,0,False
2013-04-14,92,0,0,1,0,False
2013-04-21,39,0,0,0,0,False
2013-04-28,37,0,0,0,0,False
2013-05-05,43,0,0,0,0,False
2013-05-12,38,0,0,0,0,False
2013-05-19,41,0,0,0,0,False
2013-05-26,36,0,0,0,0,False
2013-06-02,32,0,0,0,0,False
2013-06-09,37,0,0,0,0,False
2013-06-16,38,0,0,0,0,False
2013-06-23,46,0,0,1,0,False
2013-06-30,41,0,0,0,0,False
2013-07-07,42,0,0,0,0,False
2013-07-14,43,0,0,0,0,False
2013-07-21,44,0,0,1,0,False
2013-07-28,40,0,0,0,0,False
2013-08-04,38,0,0,0,0,False
2013-08-11,41,0,0,0,0,False
2013-08-18,38,0,0,0,0,False
2013-08-25,42,0,0,0,0,False
2013-09-01,42,0,0,0,0,False
2013-09-08,42,0,0,0,0,False
2013-09-15,46,0,0,0,0,False
2013-09-22,43,0,0,0,0,False
2013-09-29,52,0,0,0,0,False
2013-10-06,40,0,0,0,0,False
2013-10-13,38,0,0,0,0,False
2013-10-20,35,0,0,0,0,False
2013-10-27,35,0,0,0,0,False
2013-11-03,36,0,0,0,0,False
2013-11-10,36,0,0,0,0,False
2013-11-17,36,0,0,0,0,False
2013-11-24,31,0,0,0,0,False
2013-12-01,40,0,0,0,0,False
2013-12-08,37,0,0,0,0,False
2013-12-15,37,0,0,0,0,False
2013-12-22,34,0,0,0,0,False
2013-12-29,37,0,0,0,0,False
2014-01-05,36,0,0,0,0,False
2014-01-12,40,0,0,0,0,False
2014-01-19,37,0,0,0,0,False
2014-01-26,38,0,0,0,0,False
2014-02-02,37,0,0,0,0,False
2014-02-09,40,0,0,0,0,False
2014-02-16,38,0,0,0,0,False
2014-02-23,37,0,0,0,0,False
2014-03-02,43,0,0,0,0,False
2014-03-09,57,0,0,1,0,False
