date,breaking news abc chicago,breaking news alaska,breaking news alerts,breaking news around the world,breaking news articles,isPartial
2013-01-27,0,5,12,7,14,False
2013-02-03,0,5,22,7,0,False
2013-02-10,0,0,10,0,7,False
2013-02-17,0,5,27,0,10,False
2013-02-24,0,0,12,2,5,False
2013-03-03,0,0,7,5,10,False
2013-03-10,0,0,28,5,7,False
2013-03-17,0,0,14,2,7,False
2013-03-24,0,0,10,7,5,False
2013-03-31,0,2,24,5,7,False
2013-04-07,0,5,14,5,2,False
2013-04-14,0,2,100,2,2,False
2013-04-21,0,2,24,2,2,False
2013-04-28,0,0,7,2,7,False
2013-05-05,0,2,10,5,15,False
2013-05-12,0,2,7,0,7,False
2013-05-19,0,5,19,2,2,False
2013-05-26,0,5,2,0,10,False
2013-06-02,0,0,21,2,7,False
2013-06-09,0,2,14,0,2,False
2013-06-16,0,14,17,0,0,False
2013-06-23,0,5,19,7,5,False
2013-06-30,0,0,15,2,2,False
2013-07-07,0,5,32,5,2,False
2013-07-14,0,5,7,0,0,False
2013-07-21,0,2,12,2,2,False
2013-07-28,0,0,7,2,0,False
2013-08-04,0,2,17,5,5,False
2013-08-11,0,0,7,5,5,False
2013-08-18,0,0,12,0,5,False
2013-08-25,0,0,21,7,14,False
2013-09-01,0,2,16,0,9,False
2013-09-08,0,0,18,5,14,False
2013-09-15,0,2,11,2,13,False
2013-09-22,0,0,9,9,14,False
2013-09-29,0,4,13,0,7,False
2013-10-06,0,7,27,0,5,False
2013-10-13,0,2,16,0,16,False
2013-10-20,0,0,15,2,18,False
2013-10-27,0,2,13,4,11,False
2013-11-03,0,0,13,2,9,False
2013-11-10,0,4,16,0,13,False
2013-11-17,0,0,17,4,6,False
2013-11-24,0,0,11,0,4,False
2013-12-01,0,6,6,0,13,False
2013-12-08,0,9,7,4,11,False
2013-12-15,0,2,16,0,4,False
2013-12-22,0,0,7,7,2,False
2013-12-29,0,0,9,2,0,False
2014-01-05,0,2,11,0,8,False
2014-01-12,0,4,4,4,8,False
2014-01-19,0,2,13,2,10,False
2014-01-26,0,0,6,4,2,False
2014-02-02,0,2,13,4,13,False
2014-02-09,0,2,16,0,6,False
2014-02-16,0,0,17,2,12,False
2014-02-23,0,0,15,0,6,False
2014-03-02,0,8,15,0,2,False
2014-03-09,0,4,19,6,10,False
2014-03-16,0,4,12,6,14,False
2014-03-23,0,4,16,8,4,False
2014-03-30,0,2,12,6,10,False
2014-04-06,0,2,12,8,6,False
2014-04-13,0,2,6,6,15,False
2014-04-20,0,6,17,0,11,False
2014-04-27,0,6,10,4,10,False
2014-05-04,0,4,6,2,10,False
2014-05-11,0,2,18,2,4,False
2014-05-18,0,4,7,2,0,False
2014-05-25,0,2,11,9,0,False
2014-06-01,0,2,11,2,2,False
2014-06-08,0,0,12,0,7,False
2014-06-15,0,5,14,0,2,False
2014-06-22,0,16,26,5,2,False
2014-06-29,0,2,14,2,2,False
2014-07-06,0,2,7,5,2,False
2014-07-13,0,2,16,7,0,False
2014-07-20,0,5,19,7,0,False
2014-07-27,0,2,2,0,2,False
2014-08-03,0,2,15,2,12,False
2014-08-10,0,0,30,16,5,False
2014-08-17,0,5,18,2,7,False
2014-08-24,0,2,11,2,7,False
2014-08-31,0,2,11,7,2,False
2014-09-07,0,0,22,7,2,False
2014-09-14,0,4,20,7,9,False
2014-09-21,0,2,17,4,11,False
2014-09-28,0,0,0,2,9,False
2014-10-05,0,2,11,2,17,False
2014-10-12,0,0,4,4,9,False
2014-10-19,0,2,15,4,15,False
2014-10-26,0,0,13,11,6,False
2014-11-02,0,10,13,0,10,False
2014-11-09,0,0,23,6,13,False
2014-11-16,0,0,23,6,8,False
2014-11-23,0,0,11,0,4,False
2014-11-30,0,0,4,8,4,False
2014-12-07,0,2,17,4,4,False
2014-12-14,0,4,17,13,19,False
2014-12-21,0,0,9,9,0,False
2014-12-28,0,2,25,9,2,False
2015-01-04,0,4,30,6,8,False
2015-01-11,0,0,22,4,6,False
2015-01-18,0,12,14,0,6,False
2015-01-25,0,6,18,6,6,False
2015-02-01,0,0,16,12,12,False
2015-02-08,0,2,16,4,10,False
2015-02-15,0,2,8,4,2,False
2015-02-22,0,0,12,6,31,False
2015-03-01,0,2,10,10,2,False
2015-03-08,0,2,21,6,8,False
2015-03-15,0,4,12,6,4,False
2015-03-22,0,2,17,2,13,False
2015-03-29,0,2,12,2,10,False
2015-04-05,0,0,16,4,6,False
2015-04-12,0,4,12,2,4,False
2015-04-19,0,4,12,6,10,False
2015-04-26,0,0,18,4,14,False
2015-05-03,0,0,18,12,4,False
2015-05-10,0,6,14,2,8,False
2015-05-17,0,0,12,2,8,False
2015-05-24,0,4,14,6,10,False
2015-05-31,0,2,6,2,2,False
2015-06-07,0,6,12,6,0,False
2015-06-14,0,2,10,6,14,False
2015-06-21,0,8,19,4,4,False
2015-06-28,0,0,12,6,6,False
2015-07-05,0,2,14,8,4,False
2015-07-12,0,2,10,2,2,False
2015-07-19,0,2,8,0,6,False
2015-07-26,0,8,14,4,6,False
2015-08-02,0,4,14,2,2,False
2015-08-09,0,0,18,2,2,False
2015-08-16,0,0,17,6,8,False
2015-08-23,0,8,15,4,8,False
2015-08-30,0,6,21,4,8,False
2015-09-06,0,2,15,9,6,False
2015-09-13,0,4,19,11,7,False
2015-09-20,0,4,17,8,11,False
2015-09-27,0,4,15,4,13,False
2015-10-04,0,0,15,13,5,False
2015-10-11,0,2,15,6,6,False
2015-10-18,0,4,16,5,9,False
2015-10-25,0,2,24,13,11,False
2015-11-01,0,4,13,13,5,False
2015-11-08,0,2,14,11,5,False
2015-11-15,0,9,20,18,11,False
2015-11-22,0,5,26,5,0,False
2015-11-29,0,7,25,2,2,False
2015-12-06,0,4,18,5,11,False
2015-12-13,0,6,11,4,7,False
2015-12-20,0,2,8,4,2,False
2015-12-27,0,2,21,8,2,False
2016-01-03,0,10,26,4,8,False
2016-01-10,0,2,13,2,4,False
2016-01-17,0,4,15,2,11,False
2016-01-24,0,11,15,0,9,False
2016-01-31,0,2,13,6,11,False
2016-02-07,0,2,11,2,10,False
2016-02-14,0,0,8,6,13,False
2016-02-21,0,7,7,6,6,False
2016-02-28,0,4,17,2,7,False
2016-03-06,0,4,13,4,7,False
2016-03-13,0,6,7,6,6,False
2016-03-20,0,0,14,6,12,False
2016-03-27,0,4,11,4,4,False
2016-04-03,0,0,17,2,13,False
2016-04-10,0,4,11,6,4,False
2016-04-17,0,0,9,6,4,False
2016-04-24,0,2,15,8,6,False
2016-05-01,0,10,16,10,6,False
2016-05-08,0,0,10,4,8,False
2016-05-15,0,0,10,10,10,False
2016-05-22,0,4,21,10,2,False
2016-05-29,0,4,20,8,2,False
2016-06-05,0,0,19,12,10,False
2016-06-12,0,0,23,6,8,False
2016-06-19,0,0,12,0,6,False
2016-06-26,0,2,19,10,10,False
2016-07-03,0,0,31,8,6,False
2016-07-10,0,6,30,4,8,False
2016-07-17,0,8,24,12,0,False
2016-07-24,0,10,24,8,4,False
2016-07-31,0,0,10,6,2,False
2016-08-07,0,4,15,8,2,False
2016-08-14,0,11,20,7,13,False
2016-08-21,0,8,14,8,8,False
2016-08-28,0,8,18,6,4,False
2016-09-04,0,2,16,8,6,False
2016-09-11,0,4,26,0,10,False
2016-09-18,0,2,37,14,8,False
2016-09-25,0,4,13,2,2,False
2016-10-02,0,10,17,8,10,False
2016-10-09,0,6,29,10,10,False
2016-10-16,0,6,19,6,6,False
2016-10-23,0,0,15,10,6,False
2016-10-30,0,4,21,2,12,False
2016-11-06,0,6,19,17,13,False
2016-11-13,0,11,15,6,13,False
2016-11-20,0,6,8,4,6,False
2016-11-27,0,2,7,2,18,False
2016-12-04,0,4,7,2,5,False
2016-12-11,0,2,17,2,6,False
2016-12-18,0,4,20,10,2,False
2016-12-25,0,8,12,4,0,False
2017-01-01,0,4,28,8,8,False
2017-01-08,0,5,20,2,4,False
2017-01-15,0,2,13,7,5,False
2017-01-22,0,2,27,9,7,False
2017-01-29,0,3,35,3,5,False
2017-02-05,0,0,12,3,9,False
2017-02-12,0,2,24,7,5,False
2017-02-19,0,5,16,5,12,False
2017-02-26,0,2,5,9,9,False
2017-03-05,0,2,19,5,5,False
2017-03-12,0,0,26,3,9,False
2017-03-19,0,7,32,12,11,False
2017-03-26,0,2,14,3,14,False
2017-04-02,0,4,32,5,9,False
2017-04-09,0,5,20,2,11,False
2017-04-16,0,12,32,7,7,False
2017-04-23,0,7,23,7,12,False
2017-04-30,0,3,21,5,0,False
2017-05-07,0,10,14,5,9,False
2017-05-14,0,11,19,9,4,False
2017-05-21,0,2,19,6,2,False
2017-05-28,0,6,21,4,0,False
2017-06-04,0,4,20,7,2,False
2017-06-11,0,4,30,6,4,False
2017-06-18,0,7,18,11,4,False
2017-06-25,0,0,15,10,0,False
2017-07-02,0,12,25,12,0,False
2017-07-09,0,4,17,6,0,False
2017-07-16,0,0,7,9,2,False
2017-07-23,0,4,19,6,11,False
2017-07-30,0,2,17,9,4,False
2017-08-06,0,5,11,2,5,False
2017-08-13,0,4,26,9,7,False
2017-08-20,0,4,17,9,9,False
2017-08-27,0,2,11,9,5,False
2017-09-03,0,7,11,7,5,False
2017-09-10,0,2,16,11,11,False
2017-09-17,0,4,18,4,12,False
2017-09-24,0,2,23,7,19,False
2017-10-01,0,4,12,18,7,False
2017-10-08,0,5,23,11,9,False
2017-10-15,0,5,12,5,11,False
2017-10-22,0,0,12,9,9,False
2017-10-29,0,5,16,7,17,False
2017-11-05,0,3,14,2,17,False
2017-11-12,0,3,14,10,12,False
