date,healthcare gov,healthy snacks,healthy breakfast,healthnet,healthy recipes,isPartial
2013-01-27,0,17,13,4,74,False
2013-02-03,0,17,13,3,70,False
2013-02-10,0,14,11,3,59,False
2013-02-17,0,15,14,3,66,False
2013-02-24,0,15,13,3,65,False
2013-03-03,0,17,14,3,67,False
2013-03-10,0,14,14,3,64,False
2013-03-17,0,15,14,3,64,False
2013-03-24,0,13,13,3,62,False
2013-03-31,0,14,13,3,60,False
2013-04-07,0,14,14,3,65,False
2013-04-14,0,15,14,3,63,False
2013-04-21,0,15,14,3,64,False
2013-04-28,0,15,14,3,67,False
2013-05-05,0,14,14,3,57,False
2013-05-12,0,13,12,3,57,False
2013-05-19,0,14,13,3,59,False
2013-05-26,0,12,13,3,58,False
2013-06-02,0,13,13,3,60,False
2013-06-09,0,14,14,3,58,False
2013-06-16,0,12,12,3,59,False
2013-06-23,0,14,15,3,57,False
2013-06-30,0,12,13,3,55,False
2013-07-07,0,14,13,3,61,False
2013-07-14,0,14,14,3,63,False
2013-07-21,0,13,15,4,63,False
2013-07-28,0,13,14,4,62,False
2013-08-04,0,12,16,3,63,False
2013-08-11,0,14,15,4,63,False
2013-08-18,0,14,14,3,60,False
2013-08-25,0,14,14,3,58,False
2013-09-01,0,14,14,3,62,False
2013-09-08,0,14,14,3,59,False
2013-09-15,0,13,13,4,60,False
2013-09-22,0,12,12,4,53,False
2013-09-29,4,12,13,4,55,False
2013-10-06,1,14,13,4,55,False
2013-10-13,1,12,13,3,56,False
2013-10-20,2,15,12,4,53,False
2013-10-27,3,14,11,4,52,False
2013-11-03,2,14,12,4,59,False
2013-11-10,1,12,12,5,56,False
2013-11-17,1,11,13,4,50,False
2013-11-24,1,8,9,3,42,False
2013-12-01,2,11,11,4,44,False
2013-12-08,2,10,9,4,40,False
2013-12-15,1,9,10,4,39,False
2013-12-22,3,6,10,3,38,False
2013-12-29,1,16,19,4,83,False
2014-01-05,2,22,21,4,100,False
2014-01-12,1,19,19,4,89,False
2014-01-19,1,18,17,4,81,False
2014-01-26,1,20,15,4,77,False
2014-02-02,1,19,15,3,68,False
2014-02-09,1,15,15,3,65,False
2014-02-16,1,15,16,3,66,False
2014-02-23,2,17,17,4,69,False
2014-03-02,2,16,17,4,68,False
2014-03-09,3,16,15,4,62,False
2014-03-16,3,16,15,4,61,False
2014-03-23,5,16,16,4,65,False
