date,healthy breakfast ideas,healthy lunch ideas,healthy meals,healthy dinner ideas,healthy food,isPartial
2013-01-27,4,8,28,5,74,False
2013-02-03,4,8,27,5,73,False
2013-02-10,3,8,23,4,68,False
2013-02-17,3,7,25,4,68,False
2013-02-24,4,7,26,4,74,False
2013-03-03,4,9,28,5,72,False
2013-03-10,3,7,26,5,71,False
2013-03-17,4,8,27,5,72,False
2013-03-24,3,7,24,5,67,False
2013-03-31,3,7,26,4,66,False
2013-04-07,4,8,26,5,72,False
2013-04-14,3,8,25,5,72,False
2013-04-21,3,8,25,5,74,False
2013-04-28,5,8,25,4,73,False
2013-05-05,6,7,23,4,73,False
2013-05-12,5,7,24,4,67,False
2013-05-19,5,7,23,4,68,False
2013-05-26,6,8,22,4,63,False
2013-06-02,6,8,22,4,67,False
2013-06-09,6,8,23,4,66,False
2013-06-16,5,7,21,4,67,False
2013-06-23,5,7,24,4,68,False
2013-06-30,6,7,21,4,64,False
2013-07-07,7,7,25,5,67,False
2013-07-14,7,9,24,4,66,False
2013-07-21,5,8,25,5,66,False
2013-07-28,3,9,26,5,65,False
2013-08-04,3,10,27,4,64,False
2013-08-11,4,12,26,5,67,False
2013-08-18,4,11,26,5,65,False
2013-08-25,4,12,25,5,65,False
2013-09-01,4,12,24,5,65,False
2013-09-08,4,10,24,5,68,False
2013-09-15,4,9,23,4,67,False
2013-09-22,3,8,23,4,65,False
2013-09-29,3,7,27,5,65,False
2013-10-06,3,7,24,4,66,False
2013-10-13,3,7,21,4,66,False
2013-10-20,3,7,23,4,68,False
2013-10-27,3,6,23,4,63,False
2013-11-03,3,7,24,5,68,False
2013-11-10,5,7,24,4,71,False
2013-11-17,5,6,22,4,68,False
2013-11-24,2,4,14,3,58,False
2013-12-01,3,5,21,4,62,False
2013-12-08,2,5,18,3,56,False
2013-12-15,3,4,15,2,52,False
2013-12-22,3,3,14,2,45,False
2013-12-29,5,10,38,6,66,False
2014-01-05,5,13,42,8,81,False
2014-01-12,5,11,38,7,80,False
2014-01-19,5,10,34,6,78,False
2014-01-26,4,10,31,6,77,False
2014-02-02,4,9,29,4,73,False
2014-02-09,4,7,27,5,71,False
2014-02-16,4,9,30,6,74,False
2014-02-23,4,9,31,6,81,False
2014-03-02,6,9,29,5,78,False
2014-03-09,6,8,28,5,74,False
2014-03-16,5,9,29,5,78,False
2014-03-23,6,8,28,5,77,False
2014-03-30,5,8,31,6,75,False
2014-04-06,4,8,27,5,75,False
2014-04-13,4,7,26,5,69,False
2014-04-20,4,8,25,4,72,False
2014-04-27,4,8,28,5,73,False
2014-05-04,4,8,27,5,75,False
2014-05-11,4,8,26,5,68,False
2014-05-18,4,9,26,5,73,False
2014-05-25,3,8,25,4,70,False
2014-06-01,4,8,27,6,72,False
2014-06-08,4,8,25,5,70,False
2014-06-15,3,8,25,4,69,False
2014-06-22,7,7,26,4,67,False
2014-06-29,6,7,25,4,68,False
2014-07-06,7,8,28,5,70,False
2014-07-13,7,8,26,5,68,False
2014-07-20,7,7,26,5,68,False
2014-07-27,7,9,28,4,67,False
2014-08-03,7,9,28,5,73,False
2014-08-10,7,9,29,5,68,False
2014-08-17,7,11,28,5,69,False
2014-08-24,6,11,26,4,67,False
2014-08-31,4,11,28,5,67,False
2014-09-07,4,8,26,5,73,False
2014-09-14,5,8,25,5,73,False
2014-09-21,4,8,26,4,69,False
2014-09-28,4,7,27,5,67,False
2014-10-05,4,7,26,5,71,False
2014-10-12,4,8,21,5,72,False
2014-10-19,4,6,24,5,69,False
2014-10-26,4,7,21,5,67,False
2014-11-02,5,7,22,4,69,False
2014-11-09,6,6,23,4,75,False
2014-11-16,6,5,21,4,69,False
2014-11-23,4,5,16,3,56,False
2014-11-30,5,5,20,4,67,False
2014-12-07,4,5,19,4,63,False
2014-12-14,4,4,16,3,54,False
2014-12-21,4,2,11,2,39,False
2014-12-28,9,9,32,5,62,False
2015-01-04,11,15,49,9,86,False
2015-01-11,10,11,40,6,81,False
2015-01-18,9,10,35,6,78,False
2015-01-25,8,9,31,6,80,False
2015-02-01,8,10,30,6,79,False
2015-02-08,7,8,27,5,76,False
2015-02-15,7,8,26,5,71,False
2015-02-22,7,9,29,5,85,False
2015-03-01,8,9,30,6,81,False
2015-03-08,7,8,27,6,80,False
2015-03-15,7,8,26,6,75,False
2015-03-22,7,8,28,6,75,False
2015-03-29,5,8,25,7,71,False
2015-04-05,5,7,27,6,72,False
