date,health,health insurance,health net,health equity,health savings account,isPartial
2013-01-27,83,5,0,0,0,False
2013-02-03,83,5,0,0,0,False
2013-02-10,80,5,0,0,0,False
2013-02-17,81,5,0,0,0,False
2013-02-24,81,5,0,0,0,False
2013-03-03,82,5,0,0,0,False
2013-03-10,83,5,0,0,0,False
2013-03-17,83,5,0,0,0,False
2013-03-24,77,4,0,0,0,False
2013-03-31,77,5,0,0,0,False
2013-04-07,82,5,0,0,0,False
2013-04-14,81,4,0,0,0,False
2013-04-21,81,4,0,0,0,False
2013-04-28,81,5,0,0,0,False
2013-05-05,78,4,0,0,0,False
2013-05-12,79,4,0,0,0,False
2013-05-19,77,4,0,0,0,False
2013-05-26,71,5,0,0,0,False
2013-06-02,75,5,0,0,0,False
2013-06-09,75,5,0,0,0,False
2013-06-16,77,5,0,0,0,False
2013-06-23,77,5,0,0,0,False
2013-06-30,70,4,0,0,0,False
2013-07-07,79,5,0,0,0,False
2013-07-14,79,5,0,0,0,False
2013-07-21,76,5,0,0,0,False
2013-07-28,79,5,0,0,0,False
2013-08-04,78,5,0,0,0,False
2013-08-11,81,5,0,0,0,False
2013-08-18,81,5,0,0,0,False
2013-08-25,77,5,0,0,0,False
2013-09-01,78,5,0,0,0,False
2013-09-08,82,5,0,0,0,False
2013-09-15,85,6,0,0,0,False
2013-09-22,91,7,0,0,0,False
2013-09-29,100,11,0,0,0,False
2013-10-06,91,7,0,0,0,False
2013-10-13,84,6,0,0,0,False
2013-10-20,88,6,0,0,0,False
2013-10-27,83,6,0,0,0,False
2013-11-03,91,6,0,0,0,False
2013-11-10,85,6,0,0,0,False
2013-11-17,87,6,0,0,0,False
2013-11-24,68,4,0,0,0,False
2013-12-01,81,6,0,0,0,False
2013-12-08,77,5,0,0,0,False
2013-12-15,70,5,0,0,0,False
2013-12-22,57,6,0,0,0,False
2013-12-29,71,6,0,0,0,False
2014-01-05,86,6,0,0,0,False
2014-01-12,88,6,0,0,0,False
2014-01-19,83,5,0,0,0,False
2014-01-26,85,5,0,0,0,False
2014-02-02,82,5,0,0,0,False
2014-02-09,81,5,0,0,0,False
2014-02-16,80,5,0,0,0,False
2014-02-23,86,5,0,0,0,False
2014-03-02,84,6,0,0,0,False
2014-03-09,83,6,0,0,0,False
2014-03-16,87,6,0,0,0,False
2014-03-23,91,8,0,0,0,False
2014-03-30,89,8,0,0,0,False
2014-04-06,81,5,0,0,0,False
2014-04-13,78,4,0,0,0,False
2014-04-20,78,4,0,0,0,False
2014-04-27,78,4,0,0,0,False
2014-05-04,81,4,0,0,0,False
2014-05-11,78,4,0,0,0,False
2014-05-18,78,4,0,0,0,False
2014-05-25,74,4,0,0,0,False
2014-06-01,78,4,0,0,0,False
2014-06-08,75,4,0,0,0,False
2014-06-15,76,4,0,0,0,False
2014-06-22,76,4,0,0,0,False
2014-06-29,70,4,0,0,0,False
2014-07-06,75,5,0,0,0,False
