date,health plan of san mateo,health insurance california,health iq,health insurance companies,health insurance quotes,isPartial
2013-01-27,1,33,4,53,19,False
2013-02-03,0,23,3,46,17,False
2013-02-10,0,26,3,44,19,False
2013-02-17,1,36,3,46,20,False
2013-02-24,0,28,3,45,21,False
2013-03-03,1,25,2,52,20,False
2013-03-10,0,28,3,48,24,False
2013-03-17,0,22,3,40,18,False
2013-03-24,0,29,3,39,19,False
2013-03-31,1,26,3,40,20,False
2013-04-07,1,29,4,47,24,False
2013-04-14,0,24,4,49,19,False
2013-04-21,1,26,3,42,19,False
2013-04-28,1,26,2,47,21,False
2013-05-05,1,20,4,39,21,False
2013-05-12,1,24,2,44,14,False
2013-05-19,1,29,2,40,16,False
2013-05-26,0,41,3,38,16,False
2013-06-02,1,35,3,36,21,False
2013-06-09,0,31,4,39,23,False
2013-06-16,1,26,5,35,13,False
2013-06-23,0,25,2,41,24,False
2013-06-30,1,27,4,34,13,False
2013-07-07,0,33,3,40,17,False
2013-07-14,1,28,2,47,20,False
2013-07-21,1,31,3,47,20,False
2013-07-28,1,41,3,47,17,False
2013-08-04,1,32,3,44,18,False
2013-08-11,0,31,2,38,18,False
2013-08-18,0,27,3,47,18,False
2013-08-25,1,39,4,50,21,False
2013-09-01,1,30,2,39,16,False
2013-09-08,0,35,4,50,20,False
2013-09-15,1,36,2,54,17,False
2013-09-22,1,61,2,64,29,False
2013-09-29,1,100,3,85,40,False
2013-10-06,1,57,4,57,31,False
2013-10-13,0,41,2,59,20,False
2013-10-20,1,44,4,60,20,False
2013-10-27,1,44,5,61,21,False
2013-11-03,0,50,4,65,25,False
2013-11-10,1,45,3,64,21,False
2013-11-17,1,44,3,52,18,False
2013-11-24,1,28,3,38,16,False
2013-12-01,0,42,3,45,18,False
2013-12-08,1,41,2,42,15,False
2013-12-15,1,46,2,42,14,False
2013-12-22,0,63,2,38,17,False
2013-12-29,0,41,2,47,20,False
2014-01-05,1,42,2,48,20,False
2014-01-12,1,41,3,44,22,False
2014-01-19,1,39,2,43,26,False
2014-01-26,2,38,4,48,20,False
2014-02-02,1,30,2,44,22,False
2014-02-09,2,29,4,42,19,False
2014-02-16,1,35,2,43,21,False
2014-02-23,2,37,6,42,22,False
2014-03-02,1,38,3,42,26,False
2014-03-09,1,56,3,47,24,False
2014-03-16,1,48,2,46,32,False
2014-03-23,2,58,4,57,31,False
2014-03-30,2,67,5,56,32,False
2014-04-06,1,30,4,38,21,False
2014-04-13,1,30,4,35,19,False
2014-04-20,1,16,3,34,22,False
2014-04-27,0,21,3,35,19,False
2014-05-04,1,19,4,38,17,False
2014-05-11,1,21,3,34,18,False
2014-05-18,2,22,1,36,24,False
2014-05-25,2,18,2,30,23,False
2014-06-01,1,21,3,40,19,False
2014-06-08,2,22,5,35,13,False
2014-06-15,1,24,4,37,16,False
2014-06-22,0,23,1,36,16,False
2014-06-29,1,27,3,39,13,False
