date,healthcare gov,healthcare administration,healthcare gov login,healthcare administration jobs,healthcare management,isPartial
2013-01-27,1,15,0,3,29,False
2013-02-03,0,13,0,3,27,False
2013-02-10,0,13,0,3,27,False
2013-02-17,1,15,0,5,25,False
2013-02-24,1,13,0,3,31,False
2013-03-03,0,13,0,3,27,False
2013-03-10,0,14,0,4,29,False
2013-03-17,1,12,0,2,28,False
2013-03-24,1,14,0,4,25,False
2013-03-31,1,13,0,4,30,False
2013-04-07,0,12,0,3,27,False
2013-04-14,0,12,0,2,27,False
2013-04-21,1,14,0,3,26,False
2013-04-28,1,13,0,4,25,False
2013-05-05,1,13,0,4,27,False
2013-05-12,1,15,0,3,26,False
2013-05-19,0,12,0,3,25,False
2013-05-26,0,12,0,4,24,False
2013-06-02,1,12,0,4,28,False
2013-06-09,0,12,0,3,25,False
2013-06-16,1,11,0,3,26,False
2013-06-23,0,12,0,4,26,False
2013-06-30,0,12,0,4,26,False
2013-07-07,0,12,0,2,26,False
2013-07-14,1,15,0,4,24,False
2013-07-21,0,14,0,5,32,False
2013-07-28,1,14,0,4,27,False
2013-08-04,1,14,0,5,25,False
2013-08-11,1,15,0,3,29,False
2013-08-18,1,15,0,4,28,False
2013-08-25,1,13,0,3,28,False
2013-09-01,0,14,0,3,27,False
2013-09-08,1,16,0,5,29,False
2013-09-15,1,15,0,4,26,False
2013-09-22,2,15,0,4,28,False
2013-09-29,17,14,0,4,27,False
2013-10-06,7,15,0,4,26,False
2013-10-13,6,12,0,4,25,False
2013-10-20,11,15,0,3,30,False
2013-10-27,11,11,0,2,23,False
2013-11-03,8,12,0,4,29,False
2013-11-10,9,14,0,4,28,False
2013-11-17,8,14,0,4,25,False
2013-11-24,6,9,0,3,20,False
2013-12-01,12,14,0,4,25,False
2013-12-08,8,16,0,4,28,False
2013-12-15,8,10,0,2,25,False
2013-12-22,12,9,0,3,18,False
2013-12-29,7,11,0,5,19,False
2014-01-05,5,15,0,4,29,False
2014-01-12,4,16,0,5,31,False
2014-01-19,5,15,0,5,30,False
2014-01-26,7,17,0,4,30,False
2014-02-02,6,16,0,4,25,False
2014-02-09,10,14,0,4,26,False
2014-02-16,8,14,0,4,31,False
2014-02-23,10,16,0,4,30,False
2014-03-02,9,16,0,4,30,False
2014-03-09,15,13,0,3,28,False
2014-03-16,14,16,0,4,29,False
2014-03-23,30,14,1,4,29,False
2014-03-30,39,15,1,4,27,False
2014-04-06,5,15,0,4,32,False
2014-04-13,6,18,0,5,29,False
2014-04-20,5,13,0,3,29,False
2014-04-27,4,15,0,4,29,False
2014-05-04,3,17,0,5,28,False
2014-05-11,2,16,0,5,27,False
2014-05-18,3,14,0,5,29,False
2014-05-25,3,14,0,3,25,False
2014-06-01,2,16,0,5,26,False
2014-06-08,2,14,0,4,28,False
2014-06-15,2,15,0,5,31,False
2014-06-22,2,13,0,4,24,False
2014-06-29,2,13,0,5,22,False
2014-07-06,2,15,0,4,30,False
2014-07-13,4,13,0,3,26,False
2014-07-20,5,14,0,5,27,False
2014-07-27,2,15,0,3,27,False
2014-08-03,3,14,0,4,26,False
2014-08-10,2,16,0,6,29,False
2014-08-17,2,16,0,6,28,False
2014-08-24,2,12,0,3,27,False
2014-08-31,2,15,0,5,28,False
2014-09-07,2,15,0,4,29,False
2014-09-14,2,16,0,3,30,False
2014-09-21,2,14,0,3,30,False
2014-09-28,3,14,0,4,26,False
2014-10-05,3,14,0,5,29,False
2014-10-12,2,12,0,3,29,False
2014-10-19,2,13,0,4,27,False
2014-10-26,2,13,0,4,26,False
2014-11-02,3,12,0,3,31,False
2014-11-09,6,14,0,5,29,False
2014-11-16,10,12,1,3,26,False
2014-11-23,5,7,0,1,22,False
2014-11-30,6,13,0,3,29,False
2014-12-07,12,13,0,3,28,False
2014-12-14,13,10,0,2,24,False
2014-12-21,3,9,0,2,18,False
2014-12-28,4,12,0,4,19,False
2015-01-04,5,14,0,4,24,False
2015-01-11,7,15,0,4,31,False
2015-01-18,5,14,0,3,30,False
2015-01-25,7,17,0,5,31,False
2015-02-01,7,14,0,4,27,False
2015-02-08,10,14,0,3,27,False
2015-02-15,6,14,0,4,30,False
2015-02-22,4,15,0,4,25,False
2015-03-01,4,14,0,5,29,False
2015-03-08,2,12,0,4,27,False
2015-03-15,4,16,0,4,26,False
2015-03-22,2,14,0,4,23,False
2015-03-29,2,16,0,6,26,False
2015-04-05,2,10,0,3,28,False
2015-04-12,2,14,0,3,28,False
2015-04-19,2,16,0,5,27,False
2015-04-26,2,14,0,4,30,False
2015-05-03,3,14,0,5,26,False
2015-05-10,1,15,0,4,25,False
2015-05-17,2,14,0,4,27,False
2015-05-24,2,13,0,4,27,False
2015-05-31,3,16,0,5,28,False
2015-06-07,2,14,0,4,28,False
2015-06-14,1,13,0,4,29,False
2015-06-21,2,14,0,5,25,False
2015-06-28,2,13,0,3,23,False
2015-07-05,2,15,0,4,28,False
2015-07-12,2,15,0,5,26,False
2015-07-19,1,14,0,3,29,False
2015-07-26,2,13,0,5,27,False
2015-08-02,2,16,0,5,28,False
2015-08-09,2,17,0,5,22,False
2015-08-16,2,16,0,5,26,False
2015-08-23,1,18,0,5,28,False
2015-08-30,1,14,0,3,28,False
2015-09-06,2,15,0,4,24,False
2015-09-13,2,15,0,6,30,False
2015-09-20,2,17,0,4,29,False
2015-09-27,1,16,0,5,26,False
2015-10-04,2,13,0,3,29,False
2015-10-11,2,16,0,4,30,False
2015-10-18,2,16,0,5,31,False
2015-10-25,3,15,0,5,24,False
2015-11-01,8,15,0,3,30,False
2015-11-08,4,13,0,3,24,False
2015-11-15,6,13,0,3,25,False
2015-11-22,3,11,0,3,20,False
2015-11-29,5,13,0,3,26,False
2015-12-06,9,14,0,4,25,False
2015-12-13,17,12,1,3,25,False
2015-12-20,3,10,0,3,19,False
2015-12-27,4,12,0,4,20,False
2016-01-03,4,17,0,5,28,False
2016-01-10,5,16,0,4,31,False
