date,healthcare services group,healthcare jobs,healthcare logistics,healthcare news,healthcare solutions,isPartial
2013-01-27,3,83,1,12,17,False
2013-02-03,3,81,2,9,18,False
2013-02-10,2,79,3,12,20,False
2013-02-17,2,85,2,11,17,False
2013-02-24,3,83,3,9,22,False
2013-03-03,3,84,2,11,16,False
2013-03-10,3,82,2,13,17,False
2013-03-17,1,79,2,10,17,False
2013-03-24,2,90,3,10,16,False
2013-03-31,2,75,2,9,17,False
2013-04-07,2,87,3,10,18,False
2013-04-14,3,92,4,11,19,False
2013-04-21,3,81,1,10,16,False
2013-04-28,3,89,2,10,15,False
2013-05-05,3,80,1,11,16,False
2013-05-12,2,86,2,11,17,False
2013-05-19,2,88,2,10,16,False
2013-05-26,1,86,1,8,19,False
2013-06-02,3,84,2,10,18,False
2013-06-09,2,89,1,8,20,False
2013-06-16,2,85,2,11,15,False
2013-06-23,2,89,2,11,15,False
2013-06-30,1,80,2,9,16,False
2013-07-07,2,90,2,9,17,False
2013-07-14,3,96,2,12,21,False
2013-07-21,2,92,2,11,20,False
2013-07-28,2,92,3,10,21,False
2013-08-04,3,93,2,11,20,False
2013-08-11,2,100,3,10,18,False
2013-08-18,1,93,2,10,19,False
2013-08-25,3,92,2,11,16,False
2013-09-01,1,89,2,10,14,False
2013-09-08,3,91,1,11,17,False
2013-09-15,2,91,2,11,17,False
2013-09-22,2,90,2,16,18,False
2013-09-29,2,95,2,28,16,False
2013-10-06,2,85,2,13,19,False
2013-10-13,2,85,2,15,19,False
2013-10-20,2,86,1,16,22,False
2013-10-27,3,85,2,17,19,False
2013-11-03,2,86,1,14,19,False
2013-11-10,3,90,3,17,20,False
2013-11-17,2,84,1,12,19,False
2013-11-24,2,67,2,10,13,False
2013-12-01,2,77,2,12,20,False
2013-12-08,3,74,2,11,18,False
2013-12-15,2,68,2,9,16,False
2013-12-22,1,58,1,10,10,False
2013-12-29,2,87,1,8,14,False
2014-01-05,3,100,3,10,19,False
2014-01-12,3,96,2,11,22,False
2014-01-19,2,95,3,11,21,False
2014-01-26,3,89,2,14,21,False
2014-02-02,2,86,4,11,18,False
2014-02-09,2,85,2,12,16,False
2014-02-16,2,91,1,13,20,False
2014-02-23,3,94,2,11,17,False
2014-03-02,2,96,2,10,20,False
2014-03-09,3,87,2,13,20,False
2014-03-16,3,81,3,11,15,False
2014-03-23,2,88,2,12,19,False
2014-03-30,3,87,2,14,17,False
2014-04-06,3,85,2,8,19,False
2014-04-13,3,85,2,11,17,False
2014-04-20,2,81,2,12,18,False
2014-04-27,3,85,3,10,20,False
2014-05-04,2,89,1,10,18,False
2014-05-11,2,89,2,11,16,False
2014-05-18,1,83,3,11,16,False
2014-05-25,1,82,1,7,15,False
2014-06-01,1,83,2,10,16,False
2014-06-08,3,82,3,10,17,False
2014-06-15,3,85,2,11,18,False
2014-06-22,3,83,1,8,18,False
2014-06-29,2,80,2,9,17,False
2014-07-06,3,88,2,10,17,False
2014-07-13,3,88,3,11,17,False
2014-07-20,2,94,2,12,20,False
2014-07-27,3,85,2,11,17,False
2014-08-03,2,94,3,9,17,False
2014-08-10,2,96,2,9,16,False
2014-08-17,4,93,1,10,18,False
2014-08-24,3,83,2,11,18,False
2014-08-31,2,86,2,9,16,False
2014-09-07,3,87,1,10,18,False
2014-09-14,2,92,2,12,22,False
2014-09-21,3,83,2,11,17,False
2014-09-28,2,81,2,11,16,False
2014-10-05,3,81,3,10,20,False
2014-10-12,3,85,3,11,19,False
2014-10-19,3,89,2,9,19,False
2014-10-26,2,77,2,11,16,False
2014-11-02,3,82,2,11,18,False
2014-11-09,2,80,3,9,18,False
2014-11-16,2,75,2,12,17,False
2014-11-23,2,58,1,7,12,False
2014-11-30,1,70,2,9,14,False
2014-12-07,1,72,2,10,18,False
2014-12-14,2,61,2,6,17,False
2014-12-21,2,47,1,7,11,False
2014-12-28,2,73,2,5,11,False
2015-01-04,2,89,2,11,19,False
2015-01-11,3,87,2,11,18,False
2015-01-18,3,87,2,10,16,False
2015-01-25,2,90,2,9,16,False
2015-02-01,1,86,2,13,17,False
2015-02-08,4,80,2,12,14,False
2015-02-15,2,80,2,10,19,False
2015-02-22,2,86,2,13,18,False
2015-03-01,2,81,2,10,19,False
2015-03-08,2,73,3,12,16,False
2015-03-15,2,86,3,10,17,False
2015-03-22,2,84,2,10,15,False
2015-03-29,2,79,1,9,18,False
2015-04-05,4,79,3,10,22,False
2015-04-12,3,84,2,12,17,False
2015-04-19,2,85,3,11,18,False
2015-04-26,2,80,2,10,17,False
2015-05-03,2,79,2,10,19,False
2015-05-10,3,88,2,10,21,False
2015-05-17,4,76,3,8,17,False
2015-05-24,3,78,2,8,18,False
2015-05-31,2,87,2,9,18,False
2015-06-07,2,79,3,8,16,False
2015-06-14,2,80,2,9,16,False
2015-06-21,2,79,2,8,18,False
2015-06-28,2,77,2,10,15,False
2015-07-05,2,80,3,11,18,False
2015-07-12,3,87,2,10,19,False
2015-07-19,2,87,3,9,19,False
2015-07-26,2,86,3,10,17,False
2015-08-02,2,88,2,10,15,False
2015-08-09,2,87,2,12,16,False
2015-08-16,2,95,2,10,19,False
2015-08-23,3,91,1,10,19,False
2015-08-30,2,81,2,11,17,False
2015-09-06,2,82,2,10,15,False
2015-09-13,2,88,2,10,18,False
2015-09-20,2,86,2,10,20,False
2015-09-27,2,83,2,12,18,False
2015-10-04,3,78,2,11,17,False
2015-10-11,2,81,3,12,17,False
2015-10-18,2,84,2,12,16,False
2015-10-25,5,79,2,10,18,False
2015-11-01,3,83,1,11,18,False
2015-11-08,2,81,2,10,16,False
2015-11-15,3,70,3,18,16,False
2015-11-22,2,59,2,7,14,False
2015-11-29,2,72,2,10,18,False
2015-12-06,2,69,2,7,18,False
2015-12-13,1,66,2,10,16,False
2015-12-20,1,54,1,9,11,False
2015-12-27,2,71,1,7,12,False
2016-01-03,2,87,2,11,15,False
2016-01-10,2,86,2,13,13,False
2016-01-17,2,81,1,8,16,False
2016-01-24,3,79,2,11,16,False
2016-01-31,2,69,1,13,18,False
2016-02-07,3,76,1,9,17,False
2016-02-14,2,76,2,10,17,False
2016-02-21,2,78,1,9,18,False
2016-02-28,2,79,2,11,17,False
2016-03-06,2,80,3,10,18,False
2016-03-13,2,75,2,11,19,False
2016-03-20,2,72,1,11,16,False
2016-03-27,2,74,2,10,17,False
2016-04-03,3,82,2,11,19,False
2016-04-10,3,74,1,9,16,False
2016-04-17,2,80,2,13,16,False
2016-04-24,3,73,2,12,17,False
2016-05-01,3,80,1,9,20,False
2016-05-08,2,77,2,10,19,False
2016-05-15,3,80,1,10,16,False
2016-05-22,1,68,1,8,15,False
2016-05-29,2,74,1,9,15,False
2016-06-05,1,78,1,10,16,False
2016-06-12,2,77,1,9,16,False
2016-06-19,2,80,1,9,17,False
2016-06-26,3,76,2,10,16,False
2016-07-03,3,80,1,10,17,False
2016-07-10,2,86,2,11,18,False
2016-07-17,2,81,2,9,16,False
2016-07-24,4,79,2,8,16,False
2016-07-31,3,75,2,10,19,False
2016-08-07,3,77,1,9,14,False
2016-08-14,2,72,1,9,15,False
2016-08-21,3,78,2,9,17,False
2016-08-28,2,78,1,7,15,False
2016-09-04,3,75,2,7,15,False
2016-09-11,2,80,2,11,20,False
2016-09-18,2,77,2,12,16,False
2016-09-25,2,80,2,12,17,False
2016-10-02,2,75,1,9,18,False
2016-10-09,2,81,2,11,18,False
2016-10-16,2,80,2,10,19,False
2016-10-23,2,72,1,12,20,False
2016-10-30,2,76,2,12,18,False
2016-11-06,2,73,1,19,19,False
2016-11-13,2,80,2,11,18,False
2016-11-20,2,58,1,7,16,False
2016-11-27,3,70,1,9,16,False
2016-12-04,2,69,1,9,20,False
2016-12-11,4,63,1,9,19,False
2016-12-18,2,64,1,7,14,False
2016-12-25,2,59,1,8,11,False
2017-01-01,3,84,1,8,15,False
2017-01-08,4,85,2,10,16,False
