date,healthcare partners,healthcare academy,healthcare administration degree,healthcare alliance,healthcare associates credit union,isPartial
2013-01-27,67,13,8,73,1,False
2013-02-03,83,10,7,76,2,False
2013-02-10,78,10,7,85,3,False
2013-02-17,76,13,10,78,2,False
2013-02-24,74,16,4,70,2,False
2013-03-03,70,10,8,76,3,False
2013-03-10,75,20,10,86,2,False
2013-03-17,63,11,8,72,2,False
2013-03-24,78,14,10,81,4,False
2013-03-31,69,15,7,65,4,False
2013-04-07,65,11,10,82,2,False
2013-04-14,68,14,11,78,1,False
2013-04-21,77,7,5,77,4,False
2013-04-28,65,12,9,66,4,False
2013-05-05,59,8,10,75,4,False
2013-05-12,77,14,12,88,2,False
2013-05-19,65,14,11,63,1,False
2013-05-26,66,11,7,81,2,False
2013-06-02,68,15,11,68,4,False
2013-06-09,57,13,6,64,2,False
2013-06-16,64,13,8,81,4,False
2013-06-23,70,17,7,91,1,False
2013-06-30,66,8,7,71,4,False
2013-07-07,79,9,19,78,4,False
2013-07-14,81,18,9,67,4,False
2013-07-21,66,11,9,62,2,False
2013-07-28,77,14,10,69,5,False
2013-08-04,86,13,16,68,3,False
2013-08-11,79,15,12,65,2,False
2013-08-18,80,12,9,68,4,False
2013-08-25,73,14,11,76,3,False
2013-09-01,59,12,12,68,1,False
2013-09-08,70,12,8,57,5,False
2013-09-15,74,19,11,59,5,False
2013-09-22,78,16,11,80,5,False
2013-09-29,75,18,8,68,5,False
2013-10-06,75,17,12,66,1,False
2013-10-13,68,6,10,78,3,False
2013-10-20,78,6,12,72,3,False
2013-10-27,78,14,7,65,2,False
2013-11-03,68,19,8,70,1,False
2013-11-10,85,14,8,70,5,False
2013-11-17,87,13,11,71,2,False
2013-11-24,55,12,7,54,4,False
2013-12-01,73,13,9,60,5,False
2013-12-08,66,9,10,62,5,False
2013-12-15,62,12,8,54,5,False
2013-12-22,52,8,9,30,2,False
2013-12-29,68,17,9,46,4,False
2014-01-05,72,16,10,61,3,False
2014-01-12,80,11,14,63,3,False
2014-01-19,72,18,12,74,3,False
2014-01-26,82,13,14,78,3,False
2014-02-02,65,13,8,70,1,False
2014-02-09,70,17,10,69,3,False
2014-02-16,75,14,15,65,5,False
2014-02-23,87,14,12,81,3,False
2014-03-02,84,9,9,91,2,False
2014-03-09,71,14,7,83,1,False
2014-03-16,79,10,8,62,4,False
2014-03-23,81,15,8,76,2,False
2014-03-30,75,16,6,84,0,False
2014-04-06,64,15,9,73,2,False
2014-04-13,85,15,11,64,3,False
2014-04-20,74,13,10,55,3,False
2014-04-27,62,17,12,74,1,False
2014-05-04,76,9,14,71,2,False
2014-05-11,65,15,15,69,1,False
2014-05-18,77,17,7,62,2,False
2014-05-25,65,11,9,62,2,False
2014-06-01,84,15,6,64,3,False
2014-06-08,85,11,15,60,3,False
2014-06-15,71,13,10,66,4,False
2014-06-22,79,13,14,57,1,False
2014-06-29,53,10,8,60,2,False
2014-07-06,86,14,11,62,2,False
2014-07-13,83,9,11,78,2,False
2014-07-20,86,16,6,73,2,False
2014-07-27,80,15,8,74,5,False
2014-08-03,69,15,8,68,3,False
2014-08-10,74,13,10,69,4,False
2014-08-17,70,16,9,76,2,False
2014-08-24,82,19,8,74,1,False
2014-08-31,70,11,11,84,2,False
2014-09-07,81,11,9,70,3,False
2014-09-14,75,14,11,66,4,False
2014-09-21,64,16,14,77,3,False
2014-09-28,89,19,11,72,1,False
2014-10-05,69,14,7,74,3,False
2014-10-12,71,16,9,79,1,False
2014-10-19,88,11,9,74,4,False
2014-10-26,63,10,8,72,5,False
2014-11-02,75,15,8,77,3,False
2014-11-09,72,15,10,72,3,False
2014-11-16,69,13,9,64,3,False
2014-11-23,54,9,5,55,3,False
2014-11-30,66,16,8,62,1,False
2014-12-07,75,14,7,57,3,False
2014-12-14,65,9,6,59,3,False
2014-12-21,37,7,7,43,2,False
2014-12-28,56,16,8,55,1,False
2015-01-04,80,12,11,75,3,False
2015-01-11,80,13,4,87,3,False
2015-01-18,77,13,8,81,4,False
2015-01-25,71,11,7,89,3,False
2015-02-01,70,9,6,75,3,False
2015-02-08,76,8,6,83,1,False
2015-02-15,70,14,8,71,3,False
2015-02-22,72,13,9,65,1,False
2015-03-01,81,14,7,73,3,False
2015-03-08,77,14,10,88,1,False
2015-03-15,78,14,10,67,2,False
2015-03-22,78,12,9,67,4,False
