date,healthcare administrator salary,healthcare analytics,healthcare associated infections,healthcare associated pneumonia,a healthcare practitioner is also called a,isPartial
2013-01-27,11,24,16,3,0,False
2013-02-03,19,41,14,5,0,False
2013-02-10,11,37,14,14,0,False
2013-02-17,19,41,14,8,0,False
2013-02-24,22,22,8,11,0,False
2013-03-03,0,58,11,8,0,False
2013-03-10,8,34,16,3,0,False
2013-03-17,21,35,16,5,0,False
2013-03-24,0,39,14,0,0,False
2013-03-31,5,38,5,5,0,False
2013-04-07,3,32,8,11,0,False
2013-04-14,16,32,3,3,0,False
2013-04-21,5,54,14,14,0,False
2013-04-28,5,33,8,3,0,False
2013-05-05,5,61,5,0,0,False
2013-05-12,11,27,11,5,0,False
2013-05-19,16,40,13,5,0,False
2013-05-26,14,27,11,3,0,False
2013-06-02,13,37,8,3,0,False
2013-06-09,5,40,11,8,0,False
2013-06-16,5,22,5,8,0,False
2013-06-23,8,52,5,3,0,False
2013-06-30,3,17,6,8,0,False
2013-07-07,3,45,11,3,0,False
2013-07-14,6,45,11,6,0,False
2013-07-21,14,49,0,8,0,False
2013-07-28,11,55,3,3,0,False
2013-08-04,17,36,11,8,0,False
2013-08-11,11,47,11,6,0,False
2013-08-18,13,35,5,3,0,False
2013-08-25,11,26,13,5,0,False
2013-09-01,10,23,8,3,0,False
2013-09-08,13,46,5,5,0,False
2013-09-15,13,59,5,8,0,False
2013-09-22,10,67,8,10,0,False
2013-09-29,10,43,20,10,0,False
2013-10-06,3,41,31,3,0,False
2013-10-13,15,41,5,8,0,False
2013-10-20,12,32,10,7,0,False
2013-10-27,8,45,13,5,0,False
2013-11-03,7,42,17,7,0,False
2013-11-10,13,38,5,5,0,False
2013-11-17,5,49,7,5,0,False
2013-11-24,10,32,10,0,0,False
2013-12-01,2,53,12,0,0,False
2013-12-08,12,45,15,5,0,False
2013-12-15,10,40,3,3,0,False
2013-12-22,11,33,3,6,0,False
2013-12-29,3,24,3,5,0,False
2014-01-05,7,57,7,5,0,False
2014-01-12,7,31,9,9,0,False
2014-01-19,12,47,9,5,0,False
2014-01-26,24,35,26,12,0,False
2014-02-02,10,39,12,17,0,False
2014-02-09,14,56,7,14,0,False
2014-02-16,5,57,12,12,0,False
2014-02-23,12,57,7,5,0,False
2014-03-02,9,28,17,5,0,False
2014-03-09,5,57,21,2,0,False
2014-03-16,14,49,14,5,0,False
