date,latest on government shutdown,latest movies,latest ipad,latest iphone,latest earthquake,isPartial
2013-01-27,0,48,4,7,1,False
2013-02-03,0,47,3,7,2,False
2013-02-10,0,46,4,7,1,False
2013-02-17,0,47,4,7,1,False
2013-02-24,0,47,3,6,1,False
2013-03-03,0,50,3,6,1,False
2013-03-10,0,49,3,6,1,False
2013-03-17,0,51,3,7,0,False
2013-03-24,0,57,3,7,1,False
2013-03-31,0,52,4,6,1,False
2013-04-07,0,49,4,6,1,False
2013-04-14,0,51,3,6,7,False
2013-04-21,0,51,3,6,2,False
2013-04-28,0,52,3,6,2,False
2013-05-05,0,52,3,6,1,False
2013-05-12,0,51,3,6,1,False
2013-05-19,0,53,3,6,1,False
2013-05-26,0,53,3,6,1,False
2013-06-02,0,55,3,6,1,False
2013-06-09,0,54,3,7,0,False
2013-06-16,0,56,3,7,1,False
2013-06-23,0,56,3,7,0,False
2013-06-30,0,62,3,7,1,False
2013-07-07,0,57,3,6,1,False
2013-07-14,0,59,3,7,1,False
2013-07-21,0,60,3,7,2,False
2013-07-28,0,61,4,7,1,False
2013-08-04,0,64,4,7,1,False
2013-08-11,0,62,4,8,1,False
2013-08-18,0,61,3,6,1,False
2013-08-25,0,58,3,7,1,False
2013-09-01,0,58,3,8,1,False
2013-09-08,0,54,3,13,0,False
2013-09-15,0,55,4,12,1,False
2013-09-22,0,56,4,10,2,False
2013-09-29,5,57,4,8,1,False
2013-10-06,4,55,3,8,1,False
2013-10-13,4,54,4,6,5,False
2013-10-20,0,51,4,7,3,False
2013-10-27,0,51,4,6,1,False
2013-11-03,0,51,4,6,1,False
2013-11-10,0,51,3,6,2,False
2013-11-17,0,55,3,6,1,False
2013-11-24,0,53,4,6,1,False
2013-12-01,0,53,4,6,1,False
2013-12-08,0,53,4,6,1,False
2013-12-15,0,54,4,7,1,False
2013-12-22,0,67,5,7,1,False
2013-12-29,0,63,4,7,1,False
2014-01-05,0,56,4,6,0,False
2014-01-12,0,56,3,8,1,False
2014-01-19,0,52,4,7,1,False
2014-01-26,0,54,4,7,1,False
2014-02-02,0,52,3,6,1,False
2014-02-09,0,53,3,7,1,False
2014-02-16,0,54,4,6,0,False
2014-02-23,0,56,4,7,0,False
2014-03-02,0,55,4,7,0,False
2014-03-09,0,57,4,7,1,False
2014-03-16,0,59,3,7,1,False
2014-03-23,0,58,3,7,2,False
2014-03-30,0,57,3,7,3,False
2014-04-06,0,58,3,7,1,False
2014-04-13,0,61,4,9,1,False
2014-04-20,0,56,3,11,1,False
2014-04-27,0,56,3,9,0,False
2014-05-04,0,57,3,8,1,False
2014-05-11,0,57,4,11,1,False
2014-05-18,0,62,4,11,2,False
2014-05-25,0,62,3,11,1,False
2014-06-01,0,62,4,13,1,False
2014-06-08,0,62,3,13,1,False
2014-06-15,0,63,3,14,1,False
2014-06-22,0,66,2,14,1,False
2014-06-29,0,62,3,15,0,False
2014-07-06,0,64,3,17,1,False
2014-07-13,0,66,3,16,1,False
2014-07-20,0,65,2,10,1,False
2014-07-27,0,74,3,8,0,False
2014-08-03,0,72,3,8,1,False
2014-08-10,0,70,3,8,0,False
2014-08-17,0,68,3,8,1,False
2014-08-24,0,66,3,8,3,False
2014-08-31,0,67,3,9,1,False
2014-09-07,0,64,3,14,1,False
2014-09-14,0,62,3,10,1,False
2014-09-21,0,63,3,11,0,False
2014-09-28,0,63,3,9,1,False
2014-10-05,0,62,3,8,0,False
2014-10-12,0,60,4,7,1,False
2014-10-19,0,61,3,7,1,False
2014-10-26,0,63,3,6,0,False
2014-11-02,0,59,3,7,0,False
2014-11-09,0,62,3,6,1,False
2014-11-16,0,60,3,6,1,False
2014-11-23,0,60,4,6,1,False
2014-11-30,0,60,3,5,1,False
2014-12-07,0,61,3,6,0,False
2014-12-14,0,58,3,6,0,False
2014-12-21,0,76,3,6,1,False
2014-12-28,0,76,3,6,1,False
2015-01-04,0,63,2,6,1,False
2015-01-11,0,64,3,6,1,False
2015-01-18,0,63,3,6,1,False
2015-01-25,0,59,2,6,1,False
2015-02-01,0,60,2,6,0,False
2015-02-08,0,59,2,6,0,False
2015-02-15,0,61,2,6,0,False
2015-02-22,0,59,2,5,1,False
2015-03-01,0,59,2,6,0,False
2015-03-08,0,61,2,6,0,False
2015-03-15,0,64,2,6,0,False
2015-03-22,0,63,2,6,0,False
2015-03-29,0,71,2,6,1,False
2015-04-05,0,61,3,6,0,False
2015-04-12,0,64,2,6,0,False
2015-04-19,0,59,2,6,15,False
2015-04-26,0,62,2,5,32,False
2015-05-03,0,60,2,5,5,False
2015-05-10,0,61,2,5,24,False
2015-05-17,0,62,2,5,6,False
2015-05-24,0,64,2,5,6,False
2015-05-31,0,69,2,6,4,False
2015-06-07,0,65,2,6,4,False
2015-06-14,0,63,2,6,2,False
2015-06-21,0,62,2,7,2,False
2015-06-28,0,63,2,6,2,False
2015-07-05,0,63,3,7,1,False
2015-07-12,0,67,3,8,1,False
2015-07-19,0,65,2,6,3,False
2015-07-26,0,64,2,7,2,False
2015-08-02,0,65,3,7,1,False
2015-08-09,0,66,2,6,3,False
2015-08-16,0,65,2,8,1,False
2015-08-23,0,64,2,8,1,False
2015-08-30,0,65,2,8,1,False
2015-09-06,0,65,3,11,1,False
2015-09-13,0,65,3,10,3,False
2015-09-20,0,65,3,10,1,False
2015-09-27,0,65,3,9,1,False
2015-10-04,0,65,3,8,1,False
2015-10-11,0,61,3,8,1,False
2015-10-18,0,66,3,8,1,False
2015-10-25,0,60,3,8,13,False
2015-11-01,0,61,3,7,2,False
2015-11-08,0,64,3,7,1,False
2015-11-15,0,62,3,7,2,False
2015-11-22,0,64,4,7,2,False
2015-11-29,0,60,3,7,1,False
2015-12-06,0,64,2,7,2,False
2015-12-13,0,66,3,9,1,False
2015-12-20,0,74,3,9,4,False
2015-12-27,0,75,2,8,2,False
2016-01-03,0,63,2,7,5,False
2016-01-10,0,62,2,6,2,False
2016-01-17,0,62,2,7,1,False
2016-01-24,0,61,2,7,2,False
2016-01-31,0,60,2,6,2,False
2016-02-07,0,59,2,6,1,False
2016-02-14,0,62,2,7,2,False
2016-02-21,0,60,2,7,1,False
2016-02-28,0,59,2,7,2,False
2016-03-06,0,60,2,7,1,False
2016-03-13,0,62,2,7,1,False
2016-03-20,0,65,3,12,0,False
2016-03-27,0,62,3,10,1,False
2016-04-03,0,62,2,10,1,False
2016-04-10,0,61,2,8,8,False
2016-04-17,0,61,2,7,5,False
2016-04-24,0,65,2,7,1,False
2016-05-01,0,64,2,6,1,False
2016-05-08,0,66,2,7,1,False
2016-05-15,0,65,2,7,1,False
2016-05-22,0,67,2,7,1,False
2016-05-29,0,70,2,7,1,False
2016-06-05,0,69,2,7,2,False
2016-06-12,0,71,2,8,1,False
2016-06-19,0,69,2,8,1,False
2016-06-26,0,72,2,8,1,False
2016-07-03,0,81,1,8,0,False
2016-07-10,0,72,2,8,1,False
2016-07-17,0,78,2,9,1,False
2016-07-24,0,78,2,9,1,False
2016-07-31,0,82,2,9,1,False
2016-08-07,0,76,2,8,0,False
2016-08-14,0,80,2,7,1,False
2016-08-21,0,77,2,9,6,False
2016-08-28,0,79,2,9,2,False
2016-09-04,0,82,2,12,2,False
2016-09-11,0,89,2,11,1,False
2016-09-18,0,86,2,10,1,False
2016-09-25,0,90,2,9,1,False
2016-10-02,0,87,3,10,2,False
2016-10-09,0,96,3,9,1,False
2016-10-16,0,93,2,8,1,False
2016-10-23,0,91,2,7,1,False
2016-10-30,0,93,2,7,2,False
2016-11-06,0,79,2,6,1,False
2016-11-13,0,86,3,7,9,False
2016-11-20,0,91,3,6,3,False
2016-11-27,0,88,3,6,2,False
2016-12-04,0,86,2,7,2,False
2016-12-11,0,85,2,6,1,False
2016-12-18,0,92,3,7,1,False
2016-12-25,0,100,3,7,1,False
2017-01-01,0,86,2,7,1,False
2017-01-08,0,79,2,7,1,False
2017-01-15,0,79,2,6,1,False
2017-01-22,0,81,2,6,1,False
2017-01-29,0,74,2,6,2,False
2017-02-05,0,78,2,5,4,False
2017-02-12,0,78,2,6,1,False
2017-02-19,0,83,1,6,1,False
2017-02-26,0,81,2,5,1,False
2017-03-05,0,84,2,5,1,False
2017-03-12,0,81,2,5,1,False
2017-03-19,0,86,2,6,1,False
2017-03-26,0,88,3,7,1,False
2017-04-02,0,89,2,6,4,False
2017-04-09,0,87,2,6,2,False
2017-04-16,0,83,2,7,1,False
2017-04-23,0,83,2,5,1,False
2017-04-30,0,83,2,6,1,False
2017-05-07,0,79,2,6,0,False
2017-05-14,0,82,2,5,1,False
2017-05-21,0,85,2,6,2,False
2017-05-28,0,88,2,6,2,False
2017-06-04,0,84,3,7,1,False
2017-06-11,0,89,3,6,1,False
2017-06-18,0,91,2,6,1,False
2017-06-25,0,96,2,6,1,False
2017-07-02,0,95,2,7,2,False
2017-07-09,0,95,2,7,1,False
2017-07-16,0,97,2,6,2,False
2017-07-23,0,100,2,7,1,False
2017-07-30,0,94,2,7,1,False
2017-08-06,0,93,2,7,2,False
2017-08-13,0,99,2,7,1,False
2017-08-20,0,86,2,7,1,False
2017-08-27,0,79,2,7,1,False
2017-09-03,0,83,2,6,4,False
2017-09-10,0,81,2,14,1,False
2017-09-17,0,85,3,9,7,False
2017-09-24,0,83,3,9,2,False
2017-10-01,0,80,3,9,1,False
2017-10-08,0,75,3,8,1,False
2017-10-15,0,85,3,9,1,False
2017-10-22,0,81,3,8,1,False
2017-10-29,0,77,3,8,1,False
2017-11-05,0,79,3,8,1,False
2017-11-12,0,78,3,9,4,False
2017-11-19,0,77,5,8,1,False
2017-11-26,0,78,3,7,1,False
2017-12-03,0,73,3,8,3,False
2017-12-10,0,74,3,7,1,False
2017-12-17,0,80,3,7,1,False
2017-12-24,0,91,4,7,1,False
2017-12-31,0,79,3,7,1,False
2018-01-07,0,74,2,7,1,False
2018-01-14,1,74,2,7,1,False
2018-01-21,6,84,3,5,0,True
