date,latest transfer news,latest ios update,latest world news,latest,latest android version,isPartial
2013-01-27,2,0,0,54,0,False
2013-02-03,0,0,0,51,0,False
2013-02-10,0,0,0,53,0,False
2013-02-17,0,0,0,55,0,False
2013-02-24,0,0,0,52,0,False
2013-03-03,0,0,0,54,0,False
2013-03-10,0,0,0,53,0,False
2013-03-17,0,0,0,51,0,False
2013-03-24,0,0,0,54,0,False
2013-03-31,0,0,0,52,0,False
2013-04-07,0,0,0,53,0,False
2013-04-14,0,0,0,59,0,False
2013-04-21,0,0,0,54,0,False
2013-04-28,1,0,0,53,0,False
2013-05-05,1,0,0,56,0,False
2013-05-12,1,0,0,57,0,False
2013-05-19,1,0,0,55,0,False
2013-05-26,2,0,0,56,0,False
2013-06-02,2,0,0,55,0,False
2013-06-09,2,0,0,57,0,False
2013-06-16,2,0,0,61,0,False
2013-06-23,2,0,0,66,0,False
2013-06-30,3,0,0,64,0,False
2013-07-07,3,0,0,67,0,False
2013-07-14,3,0,0,66,0,False
2013-07-21,3,0,0,66,0,False
2013-07-28,3,0,0,66,0,False
2013-08-04,2,0,0,65,0,False
2013-08-11,2,0,0,66,0,False
2013-08-18,3,0,0,65,0,False
2013-08-25,3,0,0,66,0,False
2013-09-01,3,0,0,66,0,False
2013-09-08,0,0,0,60,0,False
2013-09-15,0,0,0,59,0,False
2013-09-22,0,0,0,61,0,False
2013-09-29,0,0,0,59,0,False
2013-10-06,0,0,0,61,0,False
2013-10-13,0,0,0,60,0,False
2013-10-20,0,0,0,57,0,False
2013-10-27,0,0,0,59,0,False
2013-11-03,0,0,0,60,0,False
2013-11-10,0,0,0,61,0,False
2013-11-17,0,0,0,60,0,False
2013-11-24,0,0,0,60,0,False
2013-12-01,0,0,0,61,0,False
2013-12-08,0,0,0,61,1,False
2013-12-15,1,0,0,61,0,False
2013-12-22,1,0,0,64,1,False
2013-12-29,1,0,0,65,1,False
2014-01-05,2,0,0,62,0,False
2014-01-12,2,0,0,63,0,False
2014-01-19,2,0,0,65,0,False
2014-01-26,3,0,0,65,0,False
2014-02-02,0,0,0,59,0,False
2014-02-09,0,0,0,60,1,False
2014-02-16,0,0,0,61,0,False
2014-02-23,0,0,0,63,0,False
2014-03-02,0,0,0,63,1,False
2014-03-09,0,0,0,76,0,False
2014-03-16,0,0,0,71,1,False
2014-03-23,0,0,0,69,1,False
2014-03-30,0,0,0,65,0,False
2014-04-06,0,0,0,67,0,False
2014-04-13,1,0,0,64,0,False
2014-04-20,1,0,0,63,0,False
2014-04-27,1,0,0,63,0,False
2014-05-04,1,0,0,62,0,False
2014-05-11,1,0,0,68,0,False
2014-05-18,1,0,0,63,0,False
2014-05-25,2,0,0,67,0,False
2014-06-01,2,0,0,67,0,False
2014-06-08,2,0,1,67,0,False
2014-06-15,2,0,1,67,0,False
2014-06-22,2,0,1,72,0,False
2014-06-29,3,0,1,72,1,False
2014-07-06,4,0,1,78,1,False
2014-07-13,5,0,1,80,1,False
2014-07-20,5,0,0,78,1,False
2014-07-27,5,0,0,80,1,False
2014-08-03,4,0,0,77,1,False
2014-08-10,5,0,0,79,0,False
2014-08-17,5,0,0,76,0,False
2014-08-24,5,0,0,77,0,False
2014-08-31,4,0,0,76,0,False
2014-09-07,1,0,0,72,0,False
2014-09-14,1,0,0,72,0,False
2014-09-21,1,0,0,71,0,False
2014-09-28,0,0,0,68,0,False
2014-10-05,1,0,0,71,0,False
2014-10-12,1,0,0,68,0,False
2014-10-19,1,0,0,68,0,False
2014-10-26,1,0,0,67,0,False
2014-11-02,1,0,0,67,0,False
2014-11-09,1,0,0,68,0,False
2014-11-16,1,0,0,68,0,False
2014-11-23,1,0,0,69,0,False
2014-11-30,1,0,0,65,0,False
2014-12-07,1,0,0,66,0,False
2014-12-14,1,0,0,71,0,False
2014-12-21,1,0,0,73,0,False
2014-12-28,1,0,0,78,0,False
2015-01-04,2,0,0,74,0,False
2015-01-11,2,0,0,71,0,False
2015-01-18,2,0,0,71,0,False
2015-01-25,2,0,0,69,0,False
2015-02-01,2,0,0,73,0,False
2015-02-08,0,0,0,70,0,False
2015-02-15,0,0,0,71,0,False
2015-02-22,0,0,0,65,0,False
2015-03-01,0,0,0,68,0,False
2015-03-08,0,0,0,68,0,False
2015-03-15,0,0,0,71,0,False
