date,latest android update,latest arsenal news,latest adobe flash player,latest apple update,latest arsenal transfer news,isPartial
2013-01-27,4,48,13,2,21,False
2013-02-03,5,17,14,2,2,False
2013-02-10,5,19,16,2,2,False
2013-02-17,5,20,15,2,3,False
2013-02-24,3,15,17,1,2,False
2013-03-03,4,17,14,1,3,False
2013-03-10,4,17,15,1,3,False
2013-03-17,6,15,15,1,4,False
2013-03-24,4,15,16,2,3,False
2013-03-31,3,17,13,1,4,False
2013-04-07,3,15,16,1,3,False
2013-04-14,4,16,12,1,4,False
2013-04-21,3,16,14,1,4,False
2013-04-28,3,19,13,1,5,False
2013-05-05,3,22,11,1,6,False
2013-05-12,3,25,11,1,7,False
2013-05-19,4,36,11,1,13,False
2013-05-26,4,39,12,1,15,False
2013-06-02,4,46,12,1,19,False
2013-06-09,4,50,12,1,21,False
2013-06-16,5,50,10,1,21,False
2013-06-23,4,58,10,1,29,False
2013-06-30,4,68,11,0,33,False
2013-07-07,3,68,11,0,32,False
2013-07-14,5,63,12,1,29,False
2013-07-21,5,73,12,1,39,False
2013-07-28,5,68,11,1,35,False
2013-08-04,6,65,11,1,31,False
2013-08-11,5,77,11,1,36,False
2013-08-18,4,76,12,1,39,False
2013-08-25,4,77,10,1,39,False
2013-09-01,5,84,10,1,41,False
2013-09-08,4,29,13,1,5,False
2013-09-15,5,29,11,2,4,False
2013-09-22,6,30,9,3,3,False
2013-09-29,5,28,10,2,4,False
2013-10-06,5,22,11,1,4,False
2013-10-13,4,25,10,1,4,False
2013-10-20,5,26,11,2,4,False
2013-10-27,4,24,9,1,3,False
2013-11-03,6,31,9,1,5,False
2013-11-10,5,22,10,1,3,False
2013-11-17,5,22,11,1,4,False
2013-11-24,5,27,11,1,5,False
2013-12-01,5,31,12,1,6,False
2013-12-08,6,25,9,1,4,False
2013-12-15,6,24,9,1,5,False
2013-12-22,6,30,12,1,7,False
2013-12-29,5,44,10,1,14,False
2014-01-05,6,47,9,1,19,False
2014-01-12,5,46,11,1,16,False
2014-01-19,5,47,12,1,18,False
2014-01-26,4,75,12,1,36,False
2014-02-02,4,27,12,1,3,False
2014-02-09,4,24,10,1,3,False
2014-02-16,5,23,9,1,3,False
2014-02-23,5,19,9,3,2,False
2014-03-02,4,18,11,1,3,False
2014-03-09,5,22,9,2,3,False
2014-03-16,5,23,9,1,3,False
2014-03-23,5,20,9,1,3,False
2014-03-30,5,21,9,1,3,False
2014-04-06,5,21,9,1,4,False
2014-04-13,5,23,9,1,4,False
2014-04-20,5,21,7,2,4,False
2014-04-27,4,23,9,2,6,False
2014-05-04,5,22,8,0,6,False
2014-05-11,5,28,8,1,8,False
2014-05-18,5,34,8,1,12,False
2014-05-25,4,37,8,1,14,False
2014-06-01,4,46,8,1,20,False
2014-06-08,4,41,7,1,17,False
2014-06-15,4,38,9,1,15,False
2014-06-22,5,43,8,1,18,False
2014-06-29,7,56,7,2,25,False
2014-07-06,5,87,10,2,44,False
2014-07-13,5,99,9,1,53,False
2014-07-20,5,98,8,1,51,False
2014-07-27,5,96,8,1,53,False
2014-08-03,5,83,8,1,46,False
2014-08-10,5,86,9,1,43,False
2014-08-17,6,87,8,1,47,False
2014-08-24,5,100,8,1,54,False
2014-08-31,5,85,8,0,46,False
2014-09-07,5,33,9,1,7,False
2014-09-14,5,28,8,2,5,False
2014-09-21,4,26,7,3,5,False
2014-09-28,5,26,8,2,5,False
2014-10-05,5,23,8,1,4,False
2014-10-12,5,24,9,2,5,False
2014-10-19,4,23,10,2,5,False
2014-10-26,6,25,11,1,6,False
2014-11-02,5,24,10,1,6,False
2014-11-09,6,20,10,1,5,False
2014-11-16,5,21,8,2,5,False
2014-11-23,5,21,8,1,5,False
2014-11-30,5,25,8,2,6,False
2014-12-07,6,21,11,1,5,False
2014-12-14,5,26,15,1,7,False
2014-12-21,4,31,10,1,9,False
2014-12-28,4,43,10,1,16,False
2015-01-04,5,49,9,1,23,False
2015-01-11,5,47,9,1,19,False
2015-01-18,4,52,8,1,22,False
2015-01-25,4,51,11,1,23,False
2015-02-01,6,41,10,1,11,False
2015-02-08,4,20,9,1,3,False
2015-02-15,5,26,8,1,4,False
2015-02-22,5,21,7,1,3,False
2015-03-01,4,23,7,1,4,False
2015-03-08,4,26,6,1,4,False
2015-03-15,5,22,8,1,3,False
2015-03-22,4,20,8,1,3,False
2015-03-29,5,24,6,1,4,False
2015-04-05,6,26,7,1,4,False
2015-04-12,7,23,6,1,4,False
2015-04-19,5,26,7,1,5,False
2015-04-26,5,24,6,1,4,False
2015-05-03,4,25,6,1,6,False
2015-05-10,5,21,7,1,6,False
2015-05-17,5,29,5,1,9,False
2015-05-24,5,40,5,0,13,False
2015-05-31,5,40,5,1,16,False
2015-06-07,5,40,5,1,17,False
2015-06-14,4,48,4,1,23,False
