Date,Title,Hospital,Sentiment
2/16/2018,New Report Labs Differ Widely in BRCA Testing Protocols,Ohio State Wexner Medical,0.7402
2/12/2018,New ECPR Protocol Helps Some Cardiac Arrest Patients Survive 'Certain Death',Ohio State Wexner Medical,0.950035294
2/9/2018,OhioHealth To Build Neuroscience Wellness Center,Ohio Health,1.45885
2/6/2018,The Christ Hospital Health Network Named a Top Hospital in the Nation for Neurosurgery and Spine Care ,The Christ Hospital,1.455458333
2/1/2018,AHA Scientific Statement Highlights Intersection of Heart Disease and Breast Cancer,Ohio State Wexner Medical,1.058876923
1/31/2018,OSUCCC - James Awards 4 Postdoctoral Fellowships Funded by Pelotonia,Ohio State Wexner Medical,0.719021053
1/30/2018,Ohio State Study Of Brain Pacemaker Shows Promise In Slowing Decline Of Alzheimer's ,Ohio State Wexner Medical,0.676077273
1/30/2018,OhioHealth Riverside Methodist Hospital Opens New High Risk Obstetrics Unit,Ohio Health,1.56914
1/25/2018,MedTips: Awards and Announcements,Ohio State Wexner Medical,0.83305625
1/22/2018,COSI Academy,Ohio Health,0.931921429
1/18/2018,The Christ Hospital Health Network Receives Two 2017 Press Ganey Guardian of Excellence Awards for Outstanding Performance in Patient Experience,The Christ Hospital,1.675229167
1/16/2018,The Christ Hospital Medical Center – Liberty Township Welcomes First Baby Born in New Family Birthing Center ,The Christ Hospital,1.516229167
1/11/2018,Ohio State Wexner Medical Center Launches Accountable Care Organization,Ohio State Wexner Medical,0.84377
1/8/2018,First-in-Human 'Nanomedicine' Drug Showing Promise in Solid Cancers,Ohio State Wexner Medical,1.247166667
1/8/2018,OhioHealth Dublin Methodist Hospital Turns 10,Ohio Health,1.186316667
1/8/2018,New Amazon Alexa skill helps patients gain information about OhioHealth Urgent Care,Ohio Health,1.155570588
1/5/2018,Media Statement: USA Today Story,Ohio State Wexner Medical,1.35625
1/4/2018,"The Christ Hospital Physicians - Primary Care Welcomes Lindsey Benjamin, DO",The Christ Hospital,1.520866667
