Date,OhioStateWexnerMedical,OhioHealth,TheChristHospital,MiamiValleyHospital
2/16/2018,0.7402,,,
2/12/2018,0.950035294,,,
2/9/2018,,1.45885,,
2/6/2018,,,1.455458333,
2/1/2018,1.058876923,,,
1/31/2018,0.719021053,,,
1/30/2018,0.676077273,,,
1/30/2018,,1.56914,,
1/25/2018,0.83305625,,,
1/22/2018,,0.931921429,,
1/18/2018,,,1.675229167,
1/16/2018,,,1.516229167,
1/11/2018,0.84377,,,
1/8/2018,1.247166667,,,
1/8/2018,,1.186316667,,
1/8/2018,,1.155570588,,
1/5/2018,1.35625,,,
1/4/2018,,,1.520866667,
1/4/2018,,,1.602579167,
1/4/2018,,,0.994775,
1/3/2018,1.189966667,,,
12/19/2017,,,1.4583,
12/18/2017,1.020158333,,,
12/18/2017,,,1.5264875,
12/14/2017,,,,0.819836364
12/13/2017,,1.357782609,,
12/12/2017,1.2709125,,,
12/12/2017,1.041325,,,
12/12/2017,1.389784615,,,
12/12/2017,1.445238462,,,
12/11/2017,0.916925,,,
12/1/2017,,,,1.089076471
11/30/2017,,1.29035,,
11/29/2017,,,1.373579167,
11/28/2017,,,1.509525,
11/20/2017,0.949775,,,
11/20/2017,0.8871,,,
11/16/2017,1.134257143,,,
11/15/2017,1.109558333,,,
11/13/2017,0.946315385,,,
11/13/2017,,1.433841176,,
11/8/2017,,1.51434,,
11/6/2017,1.1869,,,
11/6/2017,1.08274,,,
11/6/2017,,1.265706667,,
11/1/2017,0.873942857,,,
11/1/2017,0.93224,,,
10/26/2017,0.8370125,,,
10/19/2017,0.752333333,,,
10/19/2017,0.904738462,,,
10/17/2017,,1.132328571,,
10/17/2017,,,,1.173816667
10/16/2017,0.665028571,,,
10/16/2017,,,,1.434846154
10/12/2017,0.703725,,,
10/11/2017,,,,1.156775
9/27/2017,,1.3125375,,
9/27/2017,,1.1670375,,
9/19/2017,,,,1.435693333
9/8/2017,,0.997338889,,
9/7/2017,,1.405113636,,
8/18/2017,,1.569583333,,
8/18/2017,,1.249648,,
8/16/2017,,1.464395652,,
7/31/2017,,1.1156,,
7/26/2017,,1.138494444,,
7/13/2017,,1.298108333,,
7/6/2017,,1.0062,,
7/5/2017,,1.16108,,
6/20/2017,,1.132645455,,
6/14/2017,,1.34374,,
6/6/2017,,1.332715789,,
6/1/2017,,1.413233333,,
5/26/2017,,1.340842857,,
5/26/2017,,,,1.044142857
5/25/2017,,0.7699,,
5/16/2017,,1.199573913,,
5/9/2017,,,,1.257372727
2/21/2017,,,,1.2522
1/12/2017,,,,1.430541667
1/10/2017,,,,1.23225
